arg:  ['/var/spool/slurm/d/job02783/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(1)
The digit is a tensor(36)
*************** New model ***************
Details: embed_dim = 64 num_heads = 32 num_induce = 128 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/19, Train Loss: 4.8462, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 3.9857, Train Accuracy: 0.2500
Epoch [1/250], Progress: 3/19, Train Loss: 4.6433, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.8754, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.4856, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 5.1856, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.5882, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.2073, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.3897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 5.1605, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.7356, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.6320, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.5887, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.6594, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.6657, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.7819, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.1559, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.1782, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.8770, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.8770, Train Accuracy: 0.0133, Validation Loss: 4.4131, Validation Accuracy: 0.0126

Epoch [2/250], Progress: 1/19, Train Loss: 4.2984, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.4678, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.8141, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.3665, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.4184, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.4014, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.2320, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.6726, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.3766, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.2282, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.9328, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.5590, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.4187, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.4253, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.6019, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.4863, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.4044, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.3421, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.5868, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.5868, Train Accuracy: 0.0000, Validation Loss: 4.3497, Validation Accuracy: 0.0193

Epoch [3/250], Progress: 1/19, Train Loss: 4.2931, Train Accuracy: 0.2500
Epoch [3/250], Progress: 2/19, Train Loss: 4.2803, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.2567, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.3456, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.3385, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.3431, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.3409, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.4811, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.4688, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.4211, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 4.7665, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.1722, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 4.5400, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.5522, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.3175, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.7474, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.2036, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 4.6152, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 4.5332, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.5332, Train Accuracy: 0.0133, Validation Loss: 4.3446, Validation Accuracy: 0.0022

Epoch [4/250], Progress: 1/19, Train Loss: 4.3635, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 4.3988, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/19, Train Loss: 4.5597, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/19, Train Loss: 4.4127, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 4.3756, Train Accuracy: 0.0000
Epoch [4/250], Progress: 6/19, Train Loss: 4.5167, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/19, Train Loss: 4.2335, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/19, Train Loss: 4.5976, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 4.3338, Train Accuracy: 0.0000
Epoch [4/250], Progress: 10/19, Train Loss: 4.3582, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/19, Train Loss: 4.3066, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 4.3247, Train Accuracy: 0.0000
Epoch [4/250], Progress: 13/19, Train Loss: 4.5028, Train Accuracy: 0.0000
Epoch [4/250], Progress: 14/19, Train Loss: 4.3451, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/19, Train Loss: 4.4813, Train Accuracy: 0.0000
Epoch [4/250], Progress: 16/19, Train Loss: 4.3410, Train Accuracy: 0.0000
Epoch [4/250], Progress: 17/19, Train Loss: 4.6004, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 4.4421, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 4.3092, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 4.3092, Train Accuracy: 0.0000, Validation Loss: 4.3242, Validation Accuracy: 0.0145

Epoch [5/250], Progress: 1/19, Train Loss: 4.2914, Train Accuracy: 0.0000
Epoch [5/250], Progress: 2/19, Train Loss: 4.3393, Train Accuracy: 0.0000
Epoch [5/250], Progress: 3/19, Train Loss: 4.3987, Train Accuracy: 0.0000
Epoch [5/250], Progress: 4/19, Train Loss: 4.3271, Train Accuracy: 0.0000
Epoch [5/250], Progress: 5/19, Train Loss: 4.4100, Train Accuracy: 0.0000
Epoch [5/250], Progress: 6/19, Train Loss: 4.3064, Train Accuracy: 0.0000
Epoch [5/250], Progress: 7/19, Train Loss: 4.2757, Train Accuracy: 0.0000
Epoch [5/250], Progress: 8/19, Train Loss: 4.5187, Train Accuracy: 0.0000
Epoch [5/250], Progress: 9/19, Train Loss: 4.4342, Train Accuracy: 0.0000
Epoch [5/250], Progress: 10/19, Train Loss: 4.4329, Train Accuracy: 0.0000
Epoch [5/250], Progress: 11/19, Train Loss: 4.3451, Train Accuracy: 0.0000
Epoch [5/250], Progress: 12/19, Train Loss: 4.2513, Train Accuracy: 0.0000
Epoch [5/250], Progress: 13/19, Train Loss: 4.4709, Train Accuracy: 0.0000
Epoch [5/250], Progress: 14/19, Train Loss: 4.3731, Train Accuracy: 0.0000
Epoch [5/250], Progress: 15/19, Train Loss: 4.4632, Train Accuracy: 0.0000
Epoch [5/250], Progress: 16/19, Train Loss: 4.3354, Train Accuracy: 0.0000
Epoch [5/250], Progress: 17/19, Train Loss: 4.4431, Train Accuracy: 0.0000
Epoch [5/250], Progress: 18/19, Train Loss: 4.4866, Train Accuracy: 0.0000
Epoch [5/250], Progress: 19/19, Train Loss: 4.6103, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 4.6103, Train Accuracy: 0.0000, Validation Loss: 4.3259, Validation Accuracy: 0.0039

Epoch [6/250], Progress: 1/19, Train Loss: 4.2950, Train Accuracy: 0.0000
Epoch [6/250], Progress: 2/19, Train Loss: 4.2935, Train Accuracy: 0.0000
Epoch [6/250], Progress: 3/19, Train Loss: 4.4384, Train Accuracy: 0.0000
Epoch [6/250], Progress: 4/19, Train Loss: 4.3668, Train Accuracy: 0.0000
Epoch [6/250], Progress: 5/19, Train Loss: 4.2642, Train Accuracy: 0.0000
Epoch [6/250], Progress: 6/19, Train Loss: 4.2612, Train Accuracy: 0.0000
Epoch [6/250], Progress: 7/19, Train Loss: 4.4151, Train Accuracy: 0.0000
Epoch [6/250], Progress: 8/19, Train Loss: 4.4022, Train Accuracy: 0.0000
Epoch [6/250], Progress: 9/19, Train Loss: 4.3258, Train Accuracy: 0.0000
Epoch [6/250], Progress: 10/19, Train Loss: 4.2685, Train Accuracy: 0.0000
Epoch [6/250], Progress: 11/19, Train Loss: 4.3457, Train Accuracy: 0.0000
Epoch [6/250], Progress: 12/19, Train Loss: 4.3695, Train Accuracy: 0.0000
Epoch [6/250], Progress: 13/19, Train Loss: 4.3624, Train Accuracy: 0.0000
Epoch [6/250], Progress: 14/19, Train Loss: 4.5107, Train Accuracy: 0.0000
Epoch [6/250], Progress: 15/19, Train Loss: 4.3130, Train Accuracy: 0.0000
Epoch [6/250], Progress: 16/19, Train Loss: 4.2755, Train Accuracy: 0.0000
Epoch [6/250], Progress: 17/19, Train Loss: 4.5215, Train Accuracy: 0.0000
Epoch [6/250], Progress: 18/19, Train Loss: 4.5207, Train Accuracy: 0.0000
Epoch [6/250], Progress: 19/19, Train Loss: 4.3303, Train Accuracy: 0.0000
Epoch [6/250], Train Loss: 4.3303, Train Accuracy: 0.0000, Validation Loss: 4.3141, Validation Accuracy: 0.0351

Epoch [7/250], Progress: 1/19, Train Loss: 4.3689, Train Accuracy: 0.0000
Epoch [7/250], Progress: 2/19, Train Loss: 4.2881, Train Accuracy: 0.0000
Epoch [7/250], Progress: 3/19, Train Loss: 4.2159, Train Accuracy: 0.0000
Epoch [7/250], Progress: 4/19, Train Loss: 4.3499, Train Accuracy: 0.0000
Epoch [7/250], Progress: 5/19, Train Loss: 4.2829, Train Accuracy: 0.0000
Epoch [7/250], Progress: 6/19, Train Loss: 4.3721, Train Accuracy: 0.0000
Epoch [7/250], Progress: 7/19, Train Loss: 4.3772, Train Accuracy: 0.0000
Epoch [7/250], Progress: 8/19, Train Loss: 4.3659, Train Accuracy: 0.0000
Epoch [7/250], Progress: 9/19, Train Loss: 4.3395, Train Accuracy: 0.0000
Epoch [7/250], Progress: 10/19, Train Loss: 4.4291, Train Accuracy: 0.0000
Epoch [7/250], Progress: 11/19, Train Loss: 4.3343, Train Accuracy: 0.0000
Epoch [7/250], Progress: 12/19, Train Loss: 4.4073, Train Accuracy: 0.0000
Epoch [7/250], Progress: 13/19, Train Loss: 4.3736, Train Accuracy: 0.0000
Epoch [7/250], Progress: 14/19, Train Loss: 4.3864, Train Accuracy: 0.0000
Epoch [7/250], Progress: 15/19, Train Loss: 4.3161, Train Accuracy: 0.0000
Epoch [7/250], Progress: 16/19, Train Loss: 4.4982, Train Accuracy: 0.0000
Epoch [7/250], Progress: 17/19, Train Loss: 4.4172, Train Accuracy: 0.0000
Epoch [7/250], Progress: 18/19, Train Loss: 4.3841, Train Accuracy: 0.0000
Epoch [7/250], Progress: 19/19, Train Loss: 4.4309, Train Accuracy: 0.0000
Epoch [7/250], Train Loss: 4.4309, Train Accuracy: 0.0000, Validation Loss: 4.3092, Validation Accuracy: 0.0189

Epoch [8/250], Progress: 1/19, Train Loss: 4.3182, Train Accuracy: 0.0000
Epoch [8/250], Progress: 2/19, Train Loss: 4.3411, Train Accuracy: 0.0000
Epoch [8/250], Progress: 3/19, Train Loss: 4.2482, Train Accuracy: 0.0000
Epoch [8/250], Progress: 4/19, Train Loss: 4.3530, Train Accuracy: 0.0000
Epoch [8/250], Progress: 5/19, Train Loss: 4.4575, Train Accuracy: 0.0000
Epoch [8/250], Progress: 6/19, Train Loss: 4.2149, Train Accuracy: 0.0000
Epoch [8/250], Progress: 7/19, Train Loss: 4.3401, Train Accuracy: 0.0000
Epoch [8/250], Progress: 8/19, Train Loss: 4.3376, Train Accuracy: 0.0000
Epoch [8/250], Progress: 9/19, Train Loss: 4.3182, Train Accuracy: 0.0000
Epoch [8/250], Progress: 10/19, Train Loss: 4.4126, Train Accuracy: 0.0000
Epoch [8/250], Progress: 11/19, Train Loss: 4.3279, Train Accuracy: 0.0000
Epoch [8/250], Progress: 12/19, Train Loss: 4.3222, Train Accuracy: 0.0000
Epoch [8/250], Progress: 13/19, Train Loss: 4.4156, Train Accuracy: 0.0000
Epoch [8/250], Progress: 14/19, Train Loss: 4.4926, Train Accuracy: 0.0000
Epoch [8/250], Progress: 15/19, Train Loss: 4.4518, Train Accuracy: 0.0000
Epoch [8/250], Progress: 16/19, Train Loss: 4.1865, Train Accuracy: 0.0000
Epoch [8/250], Progress: 17/19, Train Loss: 4.4676, Train Accuracy: 0.0000
Epoch [8/250], Progress: 18/19, Train Loss: 4.4969, Train Accuracy: 0.0000
Epoch [8/250], Progress: 19/19, Train Loss: 4.3962, Train Accuracy: 0.0000
Epoch [8/250], Train Loss: 4.3962, Train Accuracy: 0.0000, Validation Loss: 4.2945, Validation Accuracy: 0.0007

Epoch [9/250], Progress: 1/19, Train Loss: 4.2788, Train Accuracy: 0.2500
Epoch [9/250], Progress: 2/19, Train Loss: 4.2574, Train Accuracy: 0.2500
Epoch [9/250], Progress: 3/19, Train Loss: 4.2736, Train Accuracy: 0.0000
Epoch [9/250], Progress: 4/19, Train Loss: 4.3791, Train Accuracy: 0.0000
Epoch [9/250], Progress: 5/19, Train Loss: 4.2935, Train Accuracy: 0.0000
Epoch [9/250], Progress: 6/19, Train Loss: 4.2384, Train Accuracy: 0.0000
Epoch [9/250], Progress: 7/19, Train Loss: 4.4324, Train Accuracy: 0.0000
Epoch [9/250], Progress: 8/19, Train Loss: 4.4091, Train Accuracy: 0.0000
Epoch [9/250], Progress: 9/19, Train Loss: 4.3373, Train Accuracy: 0.0000
Epoch [9/250], Progress: 10/19, Train Loss: 4.2696, Train Accuracy: 0.0000
Epoch [9/250], Progress: 11/19, Train Loss: 4.3495, Train Accuracy: 0.0000
Epoch [9/250], Progress: 12/19, Train Loss: 3.9979, Train Accuracy: 0.0000
Epoch [9/250], Progress: 13/19, Train Loss: 4.5290, Train Accuracy: 0.0000
Epoch [9/250], Progress: 14/19, Train Loss: 4.4924, Train Accuracy: 0.0000
Epoch [9/250], Progress: 15/19, Train Loss: 4.2917, Train Accuracy: 0.0000
Epoch [9/250], Progress: 16/19, Train Loss: 4.3712, Train Accuracy: 0.0000
Epoch [9/250], Progress: 17/19, Train Loss: 4.4983, Train Accuracy: 0.0000
Epoch [9/250], Progress: 18/19, Train Loss: 4.3774, Train Accuracy: 0.0000
Epoch [9/250], Progress: 19/19, Train Loss: 4.2001, Train Accuracy: 0.0000
Epoch [9/250], Train Loss: 4.2001, Train Accuracy: 0.0267, Validation Loss: 4.2744, Validation Accuracy: 0.0082

Epoch [10/250], Progress: 1/19, Train Loss: 4.2214, Train Accuracy: 0.0000
Epoch [10/250], Progress: 2/19, Train Loss: 4.8052, Train Accuracy: 0.0000
Epoch [10/250], Progress: 3/19, Train Loss: 4.5206, Train Accuracy: 0.0000
Epoch [10/250], Progress: 4/19, Train Loss: 4.2674, Train Accuracy: 0.0000
Epoch [10/250], Progress: 5/19, Train Loss: 4.2511, Train Accuracy: 0.0000
Epoch [10/250], Progress: 6/19, Train Loss: 4.3390, Train Accuracy: 0.0000
Epoch [10/250], Progress: 7/19, Train Loss: 4.2878, Train Accuracy: 0.0000
Epoch [10/250], Progress: 8/19, Train Loss: 4.1076, Train Accuracy: 0.2500
Epoch [10/250], Progress: 9/19, Train Loss: 4.1622, Train Accuracy: 0.0000
Epoch [10/250], Progress: 10/19, Train Loss: 4.3210, Train Accuracy: 0.0000
Epoch [10/250], Progress: 11/19, Train Loss: 4.3561, Train Accuracy: 0.0000
Epoch [10/250], Progress: 12/19, Train Loss: 4.4158, Train Accuracy: 0.0000
