arg:  ['/var/spool/slurm/d/job02957/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(24)
The digit is a tensor(22)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 5.0827, Train Accuracy: 0.2500
Epoch [1/250], Progress: 2/19, Train Loss: 14.8478, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 19.5029, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.2172, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.9651, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 5.2923, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.9925, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 8.9181, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.5167, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.8804, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 7.1015, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 7.0644, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.5579, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.9756, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.8523, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.6734, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.7594, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.3563, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 5.5003, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 6.7925, Train Accuracy: 0.0133, Validation Loss: 3.8051, Validation Accuracy: 0.1733

Epoch [2/250], Progress: 1/19, Train Loss: 4.3697, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.8274, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.4639, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.1684, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.0139, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 3.8450, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.1209, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.5051, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.9909, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.0104, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.1878, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 3.8640, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 2.5619, Train Accuracy: 0.2500
Epoch [2/250], Progress: 14/19, Train Loss: 3.1816, Train Accuracy: 0.2500
Epoch [2/250], Progress: 15/19, Train Loss: 4.7548, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 3.6612, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.2278, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.0698, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.5904, Train Accuracy: 0.3333
Epoch [2/250], Train Loss: 3.9166, Train Accuracy: 0.0533, Validation Loss: 3.2952, Validation Accuracy: 0.2800

Epoch [3/250], Progress: 1/19, Train Loss: 3.3129, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 2.9488, Train Accuracy: 0.5000
Epoch [3/250], Progress: 3/19, Train Loss: 3.1945, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 4.0223, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 2.7730, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/19, Train Loss: 2.9933, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 2.5095, Train Accuracy: 0.5000
Epoch [3/250], Progress: 8/19, Train Loss: 3.5222, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/19, Train Loss: 3.4889, Train Accuracy: 0.7500
Epoch [3/250], Progress: 10/19, Train Loss: 3.5225, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 2.9807, Train Accuracy: 0.5000
Epoch [3/250], Progress: 12/19, Train Loss: 3.7394, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.3293, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 3.5541, Train Accuracy: 0.2500
Epoch [3/250], Progress: 15/19, Train Loss: 2.8492, Train Accuracy: 0.2500
Epoch [3/250], Progress: 16/19, Train Loss: 3.1590, Train Accuracy: 0.2500
Epoch [3/250], Progress: 17/19, Train Loss: 3.3736, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 1.8418, Train Accuracy: 0.2500
Epoch [3/250], Progress: 19/19, Train Loss: 2.7741, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 3.1521, Train Accuracy: 0.2533, Validation Loss: 2.5535, Validation Accuracy: 0.4667

Epoch [4/250], Progress: 1/19, Train Loss: 2.7128, Train Accuracy: 0.5000
Epoch [4/250], Progress: 2/19, Train Loss: 2.6423, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/19, Train Loss: 3.0682, Train Accuracy: 0.5000
Epoch [4/250], Progress: 4/19, Train Loss: 2.1155, Train Accuracy: 1.0000
Epoch [4/250], Progress: 5/19, Train Loss: 1.6565, Train Accuracy: 0.7500
Epoch [4/250], Progress: 6/19, Train Loss: 2.3480, Train Accuracy: 0.7500
Epoch [4/250], Progress: 7/19, Train Loss: 2.2128, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/19, Train Loss: 2.6114, Train Accuracy: 0.5000
Epoch [4/250], Progress: 9/19, Train Loss: 2.6632, Train Accuracy: 0.2500
Epoch [4/250], Progress: 10/19, Train Loss: 2.8161, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/19, Train Loss: 2.7284, Train Accuracy: 0.2500
Epoch [4/250], Progress: 12/19, Train Loss: 2.5059, Train Accuracy: 0.5000
Epoch [4/250], Progress: 13/19, Train Loss: 3.6104, Train Accuracy: 0.0000
Epoch [4/250], Progress: 14/19, Train Loss: 2.4002, Train Accuracy: 0.2500
Epoch [4/250], Progress: 15/19, Train Loss: 2.2774, Train Accuracy: 0.5000
Epoch [4/250], Progress: 16/19, Train Loss: 3.0402, Train Accuracy: 0.2500
Epoch [4/250], Progress: 17/19, Train Loss: 0.5311, Train Accuracy: 0.7500
Epoch [4/250], Progress: 18/19, Train Loss: 1.9655, Train Accuracy: 0.5000
Epoch [4/250], Progress: 19/19, Train Loss: 2.8864, Train Accuracy: 0.3333
Epoch [4/250], Train Loss: 2.4627, Train Accuracy: 0.4133, Validation Loss: 1.8086, Validation Accuracy: 0.6533

Epoch [5/250], Progress: 1/19, Train Loss: 1.6674, Train Accuracy: 0.7500
Epoch [5/250], Progress: 2/19, Train Loss: 2.0315, Train Accuracy: 0.7500
Epoch [5/250], Progress: 3/19, Train Loss: 1.4581, Train Accuracy: 0.5000
Epoch [5/250], Progress: 4/19, Train Loss: 2.1942, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/19, Train Loss: 1.7730, Train Accuracy: 0.7500
Epoch [5/250], Progress: 6/19, Train Loss: 2.9963, Train Accuracy: 0.7500
Epoch [5/250], Progress: 7/19, Train Loss: 1.2630, Train Accuracy: 0.5000
Epoch [5/250], Progress: 8/19, Train Loss: 1.7689, Train Accuracy: 1.0000
Epoch [5/250], Progress: 9/19, Train Loss: 1.9739, Train Accuracy: 0.7500
Epoch [5/250], Progress: 10/19, Train Loss: 1.7768, Train Accuracy: 0.5000
Epoch [5/250], Progress: 11/19, Train Loss: 1.4005, Train Accuracy: 0.7500
Epoch [5/250], Progress: 12/19, Train Loss: 2.3557, Train Accuracy: 0.0000
Epoch [5/250], Progress: 13/19, Train Loss: 1.8301, Train Accuracy: 0.7500
Epoch [5/250], Progress: 14/19, Train Loss: 0.7522, Train Accuracy: 0.5000
Epoch [5/250], Progress: 15/19, Train Loss: 1.3378, Train Accuracy: 1.0000
Epoch [5/250], Progress: 16/19, Train Loss: 1.8932, Train Accuracy: 0.5000
Epoch [5/250], Progress: 17/19, Train Loss: 1.0507, Train Accuracy: 0.7500
Epoch [5/250], Progress: 18/19, Train Loss: 3.2282, Train Accuracy: 0.5000
Epoch [5/250], Progress: 19/19, Train Loss: 1.7305, Train Accuracy: 0.3333
Epoch [5/250], Train Loss: 1.8148, Train Accuracy: 0.6267, Validation Loss: 1.2334, Validation Accuracy: 0.7867

Epoch [6/250], Progress: 1/19, Train Loss: 1.7595, Train Accuracy: 0.7500
Epoch [6/250], Progress: 2/19, Train Loss: 1.7107, Train Accuracy: 0.5000
Epoch [6/250], Progress: 3/19, Train Loss: 1.5876, Train Accuracy: 0.7500
Epoch [6/250], Progress: 4/19, Train Loss: 1.0622, Train Accuracy: 0.7500
Epoch [6/250], Progress: 5/19, Train Loss: 0.9332, Train Accuracy: 0.7500
Epoch [6/250], Progress: 6/19, Train Loss: 1.7563, Train Accuracy: 0.5000
Epoch [6/250], Progress: 7/19, Train Loss: 1.4602, Train Accuracy: 0.5000
Epoch [6/250], Progress: 8/19, Train Loss: 1.0513, Train Accuracy: 0.7500
Epoch [6/250], Progress: 9/19, Train Loss: 1.0661, Train Accuracy: 1.0000
Epoch [6/250], Progress: 10/19, Train Loss: 1.0606, Train Accuracy: 1.0000
Epoch [6/250], Progress: 11/19, Train Loss: 0.8699, Train Accuracy: 0.7500
Epoch [6/250], Progress: 12/19, Train Loss: 0.6096, Train Accuracy: 1.0000
Epoch [6/250], Progress: 13/19, Train Loss: 1.3330, Train Accuracy: 0.7500
Epoch [6/250], Progress: 14/19, Train Loss: 1.5580, Train Accuracy: 0.7500
Epoch [6/250], Progress: 15/19, Train Loss: 1.6740, Train Accuracy: 0.5000
Epoch [6/250], Progress: 16/19, Train Loss: 0.8423, Train Accuracy: 0.7500
Epoch [6/250], Progress: 17/19, Train Loss: 1.0596, Train Accuracy: 0.7500
Epoch [6/250], Progress: 18/19, Train Loss: 2.5825, Train Accuracy: 0.0000
Epoch [6/250], Progress: 19/19, Train Loss: 2.2701, Train Accuracy: 0.3333
Epoch [6/250], Train Loss: 1.3814, Train Accuracy: 0.6800, Validation Loss: 0.8894, Validation Accuracy: 0.8533

Epoch [7/250], Progress: 1/19, Train Loss: 0.8394, Train Accuracy: 0.7500
Epoch [7/250], Progress: 2/19, Train Loss: 0.1436, Train Accuracy: 1.0000
Epoch [7/250], Progress: 3/19, Train Loss: 1.1561, Train Accuracy: 0.7500
Epoch [7/250], Progress: 4/19, Train Loss: 0.7062, Train Accuracy: 1.0000
Epoch [7/250], Progress: 5/19, Train Loss: 0.8459, Train Accuracy: 1.0000
Epoch [7/250], Progress: 6/19, Train Loss: 2.0360, Train Accuracy: 0.2500
Epoch [7/250], Progress: 7/19, Train Loss: 1.0060, Train Accuracy: 0.5000
Epoch [7/250], Progress: 8/19, Train Loss: 0.9455, Train Accuracy: 0.7500
Epoch [7/250], Progress: 9/19, Train Loss: 0.7295, Train Accuracy: 0.7500
Epoch [7/250], Progress: 10/19, Train Loss: 1.2852, Train Accuracy: 0.7500
Epoch [7/250], Progress: 11/19, Train Loss: 0.2481, Train Accuracy: 1.0000
Epoch [7/250], Progress: 12/19, Train Loss: 0.6622, Train Accuracy: 0.7500
Epoch [7/250], Progress: 13/19, Train Loss: 2.2661, Train Accuracy: 0.2500
Epoch [7/250], Progress: 14/19, Train Loss: 0.8489, Train Accuracy: 0.7500
Epoch [7/250], Progress: 15/19, Train Loss: 0.3988, Train Accuracy: 1.0000
Epoch [7/250], Progress: 16/19, Train Loss: 1.7632, Train Accuracy: 0.5000
