arg:  ['/var/spool/slurm/d/job05803/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(19)
The digit is a tensor(35)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.1967, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.6889, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 8.1678, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.7294, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 3.9821, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.5334, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.2002, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.5277, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 31.1492, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 7.8827, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 6.5990, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.6105, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 10.8615, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.5410, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.8840, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.3966, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 6.9356, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.5393, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 5.0366, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 6.9717, Train Accuracy: 0.0000, Validation Loss: 4.3017, Validation Accuracy: 0.0400

Epoch [2/250], Progress: 1/19, Train Loss: 4.3616, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.2580, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.0468, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.5540, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.4317, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.2520, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 3.5844, Train Accuracy: 0.2500
Epoch [2/250], Progress: 8/19, Train Loss: 3.9953, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.1474, Train Accuracy: 0.2500
Epoch [2/250], Progress: 10/19, Train Loss: 4.1662, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.3802, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.2081, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.1464, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.0169, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 3.5643, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.9502, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.3081, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.4019, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.1132, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.2046, Train Accuracy: 0.0267, Validation Loss: 3.8796, Validation Accuracy: 0.0667

Epoch [3/250], Progress: 1/19, Train Loss: 4.1451, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.0912, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.7195, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 4.1452, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.0537, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 3.7263, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 3.4485, Train Accuracy: 0.0000
