arg:  ['/var/spool/slurm/d/job06583/slurm_script', 'ContrastiveLearning_Model/saved_models/unmasked_encoder_64_16_16_3_0.2']
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(37)
The digit is a tensor(41)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.8859, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 10.6760, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 30.6659, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.3897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 5.4869, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 5.1477, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 13.8741, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 19.3523, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.3532, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 6.6054, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 3.8727, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.5405, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.6400, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.3712, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.4061, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.8354, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.8172, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8020, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 7.2701, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 8.1049, Train Accuracy: 0.0000, Validation Loss: 4.3333, Validation Accuracy: 0.0267

Epoch [2/250], Progress: 1/19, Train Loss: 4.0795, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.9400, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.5618, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 3.9143, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.3882, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.9540, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.1004, Train Accuracy: 0.2500
Epoch [2/250], Progress: 8/19, Train Loss: 4.5125, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.6296, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.4812, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.3271, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.3287, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.4285, Train Accuracy: 0.2500
Epoch [2/250], Progress: 14/19, Train Loss: 4.4304, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.5338, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.0207, Train Accuracy: 0.2500
Epoch [2/250], Progress: 17/19, Train Loss: 3.8773, Train Accuracy: 0.2500
Epoch [2/250], Progress: 18/19, Train Loss: 4.6423, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.3960, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.3445, Train Accuracy: 0.0533, Validation Loss: 4.0588, Validation Accuracy: 0.0400

Epoch [3/250], Progress: 1/19, Train Loss: 4.6463, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 3.9870, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.0645, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/19, Train Loss: 4.0425, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 3.8636, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 4.0956, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.0951, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 3.7921, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.3689, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.4144, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 4.1340, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.3264, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.6150, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.2589, Train Accuracy: 0.0000
