arg:  ['/var/spool/slurm/d/job02605/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(2)
The digit is a tensor(67)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 5.0978, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.8325, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.6797, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 6.6310, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 5.1757, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 8.4696, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.0334, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 5.9084, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.7425, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.6679, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.3795, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.6469, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.8422, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.6522, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.6564, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.1991, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.8264, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.6061, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.4488, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.4488, Train Accuracy: 0.0000, Validation Loss: 3.7804, Validation Accuracy: 0.1082

Epoch [2/250], Progress: 1/19, Train Loss: 3.8648, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.7323, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.2938, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 3.8903, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.9158, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.9350, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 3.6798, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.8108, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.4901, Train Accuracy: 0.2500
Epoch [2/250], Progress: 10/19, Train Loss: 3.4211, Train Accuracy: 0.2500
Epoch [2/250], Progress: 11/19, Train Loss: 3.3691, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 2.5092, Train Accuracy: 0.2500
Epoch [2/250], Progress: 13/19, Train Loss: 3.7527, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.0047, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.0913, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 3.5259, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 3.8705, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.9098, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.5295, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 3.5295, Train Accuracy: 0.0400, Validation Loss: 3.0273, Validation Accuracy: 0.2600

Epoch [3/250], Progress: 1/19, Train Loss: 3.2417, Train Accuracy: 0.5000
Epoch [3/250], Progress: 2/19, Train Loss: 2.8708, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/19, Train Loss: 3.2540, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 3.4982, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 2.1568, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/19, Train Loss: 3.5725, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 3.3191, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 2.7420, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 2.5241, Train Accuracy: 0.2500
Epoch [3/250], Progress: 10/19, Train Loss: 2.5913, Train Accuracy: 0.2500
Epoch [3/250], Progress: 11/19, Train Loss: 3.3588, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 2.4219, Train Accuracy: 0.5000
Epoch [3/250], Progress: 13/19, Train Loss: 2.3874, Train Accuracy: 0.5000
Epoch [3/250], Progress: 14/19, Train Loss: 3.6128, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 2.8042, Train Accuracy: 0.2500
Epoch [3/250], Progress: 16/19, Train Loss: 2.7118, Train Accuracy: 0.5000
Epoch [3/250], Progress: 17/19, Train Loss: 3.4161, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 2.7737, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 2.8636, Train Accuracy: 0.3333
Epoch [3/250], Train Loss: 2.8636, Train Accuracy: 0.2400, Validation Loss: 2.3380, Validation Accuracy: 0.4441

Epoch [4/250], Progress: 1/19, Train Loss: 2.4363, Train Accuracy: 0.7500
Epoch [4/250], Progress: 2/19, Train Loss: 3.3290, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/19, Train Loss: 2.3868, Train Accuracy: 0.2500
Epoch [4/250], Progress: 4/19, Train Loss: 2.5705, Train Accuracy: 0.2500
Epoch [4/250], Progress: 5/19, Train Loss: 2.3997, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/19, Train Loss: 2.5986, Train Accuracy: 0.2500
Epoch [4/250], Progress: 7/19, Train Loss: 2.1397, Train Accuracy: 0.5000
Epoch [4/250], Progress: 8/19, Train Loss: 4.2954, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 2.2231, Train Accuracy: 0.5000
Epoch [4/250], Progress: 10/19, Train Loss: 2.2806, Train Accuracy: 0.2500
Epoch [4/250], Progress: 11/19, Train Loss: 2.9656, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 2.1788, Train Accuracy: 0.2500
Epoch [4/250], Progress: 13/19, Train Loss: 2.8297, Train Accuracy: 0.0000
Epoch [4/250], Progress: 14/19, Train Loss: 3.2509, Train Accuracy: 0.2500
Epoch [4/250], Progress: 15/19, Train Loss: 2.7929, Train Accuracy: 0.0000
Epoch [4/250], Progress: 16/19, Train Loss: 3.2370, Train Accuracy: 0.0000
Epoch [4/250], Progress: 17/19, Train Loss: 3.2207, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 2.8504, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 3.9383, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 3.9383, Train Accuracy: 0.2000, Validation Loss: 2.1865, Validation Accuracy: 0.4551

Epoch [5/250], Progress: 1/19, Train Loss: 1.8932, Train Accuracy: 0.2500
Epoch [5/250], Progress: 2/19, Train Loss: 1.7914, Train Accuracy: 0.5000
Epoch [5/250], Progress: 3/19, Train Loss: 4.1331, Train Accuracy: 0.2500
Epoch [5/250], Progress: 4/19, Train Loss: 1.7373, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/19, Train Loss: 1.7772, Train Accuracy: 0.5000
