arg:  ['/var/spool/slurm/d/job02877/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_32_32_64_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(0)
The digit is a tensor(21)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.7149, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.8252, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.8706, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.4517, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.3104, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 3.9967, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.1613, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.6544, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.9620, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 5.2112, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.5382, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.7192, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.5392, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.6532, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.0846, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.4715, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.5821, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.4779, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6058, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.6058, Train Accuracy: 0.0000, Validation Loss: 3.9862, Validation Accuracy: 0.0583

Epoch [2/250], Progress: 1/19, Train Loss: 4.5423, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.1724, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 3.9186, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 3.7608, Train Accuracy: 0.2500
Epoch [2/250], Progress: 5/19, Train Loss: 3.8815, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 4.1655, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.1032, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.0197, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.2859, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 3.2508, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 3.2742, Train Accuracy: 0.2500
Epoch [2/250], Progress: 12/19, Train Loss: 4.0270, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.9224, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 3.6955, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 3.7959, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 3.7384, Train Accuracy: 0.2500
Epoch [2/250], Progress: 17/19, Train Loss: 4.0294, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.6975, Train Accuracy: 0.2500
Epoch [2/250], Progress: 19/19, Train Loss: 3.9105, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 3.9105, Train Accuracy: 0.0800, Validation Loss: 3.3645, Validation Accuracy: 0.2460

Epoch [3/250], Progress: 1/19, Train Loss: 3.6504, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 2.6170, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.1362, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 3.3893, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 2.8481, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 3.5834, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 2.4721, Train Accuracy: 0.5000
