arg:  ['/var/spool/slurm/d/job02923/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_32_32_64_3_0.2']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(48)
The digit is a tensor(40)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 17.2074, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.3953, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.9164, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 5.7841, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 6.3101, Train Accuracy: 0.2500
Epoch [1/250], Progress: 6/19, Train Loss: 4.7387, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.6947, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.4389, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.5355, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.6767, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 6.5019, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.1996, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.3222, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.4341, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.6771, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.4917, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 3.7086, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.5438, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.7592, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.7592, Train Accuracy: 0.0133, Validation Loss: 4.3097, Validation Accuracy: 0.0633

Epoch [2/250], Progress: 1/19, Train Loss: 3.9960, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.7142, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.0967, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.5592, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.3025, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.2605, Train Accuracy: 0.2500
Epoch [2/250], Progress: 7/19, Train Loss: 4.2948, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.1830, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.2540, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.4429, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.3781, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.1308, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.3600, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.2376, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.3244, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.0020, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.0539, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.2629, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.6916, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.6916, Train Accuracy: 0.0133, Validation Loss: 4.1330, Validation Accuracy: 0.1347

Epoch [3/250], Progress: 1/19, Train Loss: 4.5922, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.5402, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.4167, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/19, Train Loss: 4.2815, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.3482, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 3.4098, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 4.1484, Train Accuracy: 0.0000
