0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.9988960027694702,5.314796570436528e-17,2.8764798673573796e-20,3.768719819725874e-13,7.0461623202788815e-09,6.784777184520863e-09,4.963162142326332e-26,0.0011002854444086552,1.7255197271026645e-11,7.844995890988843e-25,5.504437714070206e-19,6.379136839395434e-15,3.70906511884192e-14,4.746338915405196e-25,6.582725628219344e-26,6.845720996589968e-30,1.0960145640682513e-22,1.1163583891939804e-13,9.732649475691105e-33,1.4439748531376675e-29,1.926889332500622e-14,2.88300742577806e-26,6.671290652548435e-23,6.474433766889831e-10,1.0730016128945863e-06,3.399419896321709e-21,2.1695893440642176e-15,9.289014113024499e-18,6.388774459678632e-17,8.407108575313458e-19,2.569288009971843e-21,3.6651126001624687e-25,1.2364571315769536e-25,9.534661994262386e-23,2.144733667014009e-19,1.0950069362567944e-23,2.492338881934439e-14,3.9260764219288453e-20,4.243214224430858e-09,1.7837315550970778e-28,3.803106416679767e-28,8.288634362196845e-11,1.8341675484801483e-25,3.212203723498841e-12,2.396962273110148e-08,8.700730592625427e-32,8.784323637413272e-13,3.1521810162082886e-10,2.6409505106511664e-24,1.750820339611255e-20,2.039706728171331e-12,5.482955380951288e-27,5.6407984362174435e-27,6.774157660205374e-21,1.6210199203392761e-25,6.387205639268622e-20,1.3321300925753774e-15,6.0595665072197566e-21,1.0848124078925328e-23,8.872003084042833e-16,1.3057956661716715e-31,1.664283131880967e-13,1.5013882264224377e-20,8.251701759236117e-20,1.4606618193267404e-21,2.4970377760335084e-16,1.2980479829054018e-31,1.9899328092029766e-22,6.221712925927714e-25,4.888093510686808e-13,1.9820149176339647e-23,5.4478945632077406e-17,2.6023919872386614e-06,1.943799565751192e-10,2.3621848245423718e-29
1.3069288706812898e-10,0.9991099238395691,3.253534944976043e-17,3.137043440770357e-14,9.963396142734053e-15,1.1047965080485719e-15,7.082140863340358e-13,3.845430918136827e-12,1.4443694851262734e-10,3.5877466904483957e-13,2.64691130125172e-10,1.1299868443834411e-15,0.00015946007624734193,4.798849840881303e-05,1.434617669885535e-13,4.871280907536857e-06,5.092684940422032e-09,5.0054287971390554e-12,3.9120931352989107e-16,1.5360467342517836e-09,3.4761189482424015e-08,4.839842583778328e-14,3.924513158892751e-09,6.690542009302192e-10,2.97131064144196e-05,1.5314376503039462e-11,1.0989457877030873e-07,4.804900366472964e-10,4.2348969145677984e-05,3.986582098797685e-20,5.2049772421014495e-06,4.6915606816133604e-11,3.108343582525208e-09,2.6169400371145457e-06,1.6876161680556834e-05,1.3494056860494729e-18,4.773488715414942e-09,1.3893374450901774e-08,3.070390079337737e-13,2.4041493690046996e-14,4.326587064016335e-19,3.1598146371112335e-18,1.731820270550093e-16,7.655609124412877e-08,2.981225044607072e-09,1.5020191312942188e-07,5.894650510708446e-17,8.266457030003949e-07,5.821910878736625e-13,2.0008533284292584e-18,1.2000930848035662e-13,2.4811739468555416e-11,7.165588876276004e-22,5.204092839712453e-14,1.2190513132281922e-07,2.6669406738519003e-16,2.8970436687814072e-05,1.3401406720459086e-11,7.999753142904063e-19,1.3430796474978024e-09,1.0061210660450032e-14,1.793450943310404e-10,1.8868905874862964e-18,4.1813408746711744e-15,2.4924127432074394e-13,2.3047232575553503e-20,4.2526873407326693e-13,1.1364914564993e-10,1.2686284560361962e-15,7.25516177625847e-14,1.1619620469747153e-16,2.793393560803005e-17,0.0005505920853465796,3.6685204873876387e-10,1.1095320490281044e-13
8.754289203099035e-19,1.3861734453355163e-23,0.9999939203262329,9.337697310180631e-23,7.22717513005483e-14,4.7351013893886144e-20,3.0249425900802786e-17,1.0173242626185675e-14,8.317749158708032e-13,4.618147932082293e-28,1.0626628869664801e-14,8.396609274541333e-08,4.161705424157435e-28,8.114525900901433e-31,1.0668800953794744e-08,5.027659860604809e-28,1.2088697679282449e-18,4.4331964090815745e-06,9.941416069799578e-21,5.5021331268450876e-17,3.439030337630891e-14,2.2223849427405185e-09,8.068037129944984e-17,3.7540691106595085e-28,2.933800786164532e-16,5.878490932163883e-28,2.1062818898281944e-15,1.1603127024790447e-25,2.407264492810394e-17,5.205367285484892e-15,2.0677275335196678e-14,1.5147766680868399e-18,1.7217196797595907e-18,3.3999602092438004e-23,7.803132375923694e-22,3.668198665438891e-20,2.5598243579465294e-16,2.3398068832736617e-23,4.860070408185119e-14,1.7111594074971945e-24,8.531546492426896e-21,5.077417241329736e-16,4.2710266347408554e-19,4.794435863404134e-24,1.783036883817243e-21,2.4317812490642106e-22,1.466237904423906e-07,3.334268527336335e-27,1.5938552561101105e-11,8.179432177532368e-27,3.2677075396439784e-20,5.786889852148937e-28,5.235900601974208e-10,7.339074035641215e-20,4.8222749742905617e-26,8.147105494578366e-13,5.80580480227768e-32,7.521389318990639e-31,3.8343466280483986e-16,2.1344884165824435e-28,9.426524849665886e-16,2.99483844311397e-24,2.9945232663610633e-21,4.1122936801839984e-21,2.5114251600382147e-15,4.8275863558447374e-14,2.6911999642376133e-24,5.440089563132311e-23,7.158855125419369e-17,2.3516765791653516e-12,1.4506248362522456e-06,4.120478180880127e-08,7.9118462439052875e-22,9.699165241420913e-21,1.1895401459428268e-22
3.933010361834022e-08,1.9898820696695528e-23,1.7838899138239385e-22,0.9999881982803345,2.5830715344454802e-09,4.838097922288398e-09,1.2253522600946496e-21,2.3136118443289888e-07,1.4059698059404668e-17,1.3772513511867146e-06,4.158855709176351e-21,4.901825056968789e-10,1.4582176767156438e-17,4.415953744541398e-18,3.963051648554346e-29,1.4679084596851689e-22,2.537667334690513e-19,8.218752768408139e-22,1.1983589203693346e-16,8.281991798930877e-27,3.948449718793844e-19,2.30506418683028e-24,2.9111945438653047e-18,2.0129400013502163e-07,1.6731812384028618e-18,1.6450169226800426e-08,2.1695545137633697e-20,1.2081777262939065e-15,1.2779915422343702e-20,6.76219997330918e-07,2.9481433995512226e-24,2.514271823534158e-19,1.362625316225945e-23,2.7746934059769572e-18,3.320215216828856e-25,1.9346745039339197e-10,1.0901546457003572e-13,5.739405912336126e-12,2.5885706911310535e-09,2.9209176743982823e-10,2.91899966502899e-19,5.29445833308273e-06,7.005982883796709e-17,1.7036746362622535e-14,1.0445091902511194e-06,4.7873447295566e-28,1.88993872635157e-12,5.15448905780147e-10,1.859536550194193e-21,1.1942852324864361e-06,6.031455335175906e-09,6.83162126728045e-22,7.678022794615211e-19,2.7985138294742233e-19,1.934276236337159e-21,4.4058334048137707e-14,6.3692713325735895e-09,7.165769311257009e-09,8.890254526473795e-14,1.0605938057049041e-13,6.7212595871969855e-25,6.139701112816055e-17,1.0929633864620314e-09,1.6819167285575531e-06,6.226113660443199e-26,7.048366335027367e-09,1.5543800699028934e-17,1.2004932814499612e-20,1.6038833158237346e-21,3.9157682651946857e-10,3.977221366264396e-17,1.6306765157747976e-21,7.943461426823673e-15,9.719644793876325e-14,3.265167592547821e-15
3.815459892475559e-10,1.7863253483194092e-23,7.85489972761691e-14,2.2050967280438927e-13,0.9994420409202576,1.4297125719608365e-24,2.3575739241254115e-25,0.00019502358918543905,0.00017373968148604035,4.556275687244841e-29,4.3326090004699806e-23,6.470200730746001e-08,9.76602869572762e-31,2.351862373956385e-24,4.2145035856395495e-24,6.602778234052106e-41,1.047037453388998e-25,3.922250065360934e-19,7.118419834439418e-33,6.202100388264748e-32,1.0771282999859485e-21,3.1540073586280204e-28,4.9515288730534647e-29,4.170495560092166e-22,6.384604785125703e-05,3.0668341984422267e-31,4.168973883767552e-27,1.1952711616541094e-32,2.18217018132754e-19,3.815120833030298e-16,1.977700289443326e-27,1.0010298898122365e-14,7.284559797880824e-33,9.264854801382564e-25,8.736866134884479e-23,1.6168870756902405e-21,0.00010248832404613495,1.1031582404494636e-16,2.187002610298805e-05,8.429565487584769e-26,1.2014043437724908e-27,6.367989902750226e-13,2.2007634623453637e-33,1.6623236120949514e-10,8.597743317295681e-07,2.003878811500185e-33,5.5615142713349996e-08,8.750234156941147e-17,1.6739017041588324e-25,1.8313539947392856e-30,1.0670200834006494e-11,2.428277878963796e-39,4.6367924276151075e-21,1.0862882246512384e-22,6.793598110057558e-29,3.0084965629839644e-09,4.275885206084482e-21,6.070777703741449e-26,4.519325269592076e-26,7.409353711500998e-27,5.281882432707992e-30,6.735957134736225e-19,4.688929524689097e-20,5.882303529582588e-23,6.678008932213563e-26,4.3987204989548445e-09,4.27235772795062e-31,5.6498534361220254e-33,2.914321266909154e-36,4.5349552561857265e-18,2.660726404730723e-21,8.145072956700415e-18,2.9208186298193203e-15,9.50826688494999e-08,9.343463683613993e-34
7.258045726932227e-12,6.964453367694341e-43,1.2322931292887445e-24,1.1224935050506042e-27,1.4135250352521365e-26,1.0,2.6230769186966133e-37,2.060150466958177e-21,1.1754556817601229e-29,7.916569532915538e-38,4.468042223330515e-26,3.50599418593203e-31,8.222565304566865e-26,0.0,2.3292243767193263e-30,1.2952902354986447e-39,6.847164686230354e-41,7.37375164411794e-19,1.991555511020607e-36,1.3277643465004473e-38,6.997655804343354e-31,4.059515196122259e-27,1.3385090827353507e-39,3.2521437809896238e-21,5.697860464697489e-35,1.454260552839566e-28,7.090325696514307e-25,6.943340329279476e-21,3.295164504405971e-36,2.183630878891732e-18,1.280322546211652e-38,1.975830834697992e-43,6.361799500774525e-30,1.4396042190157538e-38,1.8862413397186207e-38,8.860013159760177e-24,1.1905305636041857e-39,2.802596928649634e-45,5.132951618394303e-23,2.9299942969755677e-38,2.946046766615048e-21,2.989705358280581e-11,7.552278698307205e-25,1.4977035053609191e-33,7.31396488090214e-35,2.3539011603728277e-41,6.25238077319809e-22,2.22758103304282e-27,6.511379919356208e-28,3.7417288017982386e-11,9.069366588814066e-23,3.1129925503837758e-25,7.136582806627648e-20,1.0895270224708117e-21,1.2959187178598943e-38,5.390868814622447e-32,9.066401064181566e-43,3.8701336831419734e-33,3.0904721380597015e-20,5.659085721182501e-20,9.723101522826551e-32,1.1043367825708108e-19,2.0035597122880144e-26,4.834734739547176e-27,1.5483368331041882e-19,9.05167911562866e-21,5.764378560249639e-38,6.78620267008211e-20,1.3275450820560662e-14,3.2852065066274723e-24,1.273881699843457e-31,2.9720561948998192e-12,4.600236768553164e-30,3.8692351646475636e-32,3.476065135487385e-34
1.478345297124774e-17,2.1077505019118092e-10,5.585227766391476e-11,4.558771026792047e-16,6.9658827317464755e-12,8.385617389023565e-19,0.999818742275238,1.8277981693735188e-17,2.639160269583005e-15,1.5916413076411118e-07,1.0503176120473312e-16,7.814917739627433e-14,2.5987579626692773e-16,1.2539671523370544e-08,4.932516458211467e-05,1.6173687389375857e-11,3.450650183367543e-05,2.0527551250341166e-15,4.240634007146582e-05,2.6181260182056576e-05,3.040550922150942e-09,2.342744596407764e-13,5.227063670787402e-09,1.256418580286578e-12,2.7494193445380677e-13,8.63724747919483e-15,1.4220902325901453e-17,1.554466777520247e-09,1.6660267878487682e-17,2.1387660268718705e-15,1.8390833560893993e-13,7.60599334626022e-07,1.865259554071578e-14,2.255035063167916e-15,1.5615813026670367e-05,1.316042369338397e-16,8.757536660913487e-14,1.8634407794593244e-08,3.884072474766738e-18,1.4584604635103915e-09,1.0246932191648739e-07,1.4274009968205317e-16,4.729239719836187e-07,1.8611621965813896e-10,2.472213267434853e-10,1.0680313522470897e-07,8.227815997963184e-12,1.6794194209924305e-18,8.38825409753643e-16,1.1086029252210224e-17,2.119775548194429e-15,1.19455947356073e-07,1.1601464580679455e-11,1.1312633121929316e-11,1.5315039263441577e-06,9.061877116744999e-12,9.421310303084351e-13,3.7409922697406728e-06,7.998741426151756e-12,1.7529366960460243e-15,2.393538579781307e-06,3.4859712942051247e-15,3.7425802474899683e-06,2.2731031229657975e-15,6.047386983537573e-13,9.67103286342308e-10,2.6534118869117607e-13,1.1831249604346624e-19,4.519472090406401e-13,4.4318500217886865e-15,1.0767934988109573e-08,1.0475902236612919e-13,3.216254245640523e-17,7.369559540393311e-08,8.211303815716664e-13
7.561191887361929e-05,3.638786191691561e-24,1.7874048255821136e-19,2.915104138981328e-13,0.0030764606781303883,1.2790780407377844e-19,5.6372771159361654e-33,0.9960387945175171,3.3778596844058484e-06,3.9701519424128324e-32,1.2069182152594301e-23,3.011636079408575e-12,1.839442593560627e-27,6.542983617241908e-30,3.6323363187584095e-32,1.5414283107572988e-44,1.2388245321508045e-30,1.4645646335557631e-18,5.5715626941554727e-42,4.489377725215953e-39,3.897795054181656e-22,4.478546783924542e-33,3.9120014123720047e-32,4.73651308942621e-20,0.0007722660666331649,2.098517053532521e-32,7.140255661434139e-25,2.4171194424279445e-33,1.9851363733405195e-20,5.198592852457553e-19,2.020307432972948e-29,2.460529738587616e-24,4.5776680147319166e-36,1.6301467790862108e-27,7.433330923011037e-26,2.508282841839491e-25,1.6717445205927106e-09,7.344083486667276e-22,3.275909330113791e-05,5.22677208076796e-33,6.347182766310715e-34,1.1443125093324458e-11,1.3559345093989226e-38,3.697996076024168e-11,6.692861234114389e-07,4.806733992326988e-41,4.4731163217903713e-11,1.68280049183539e-13,1.0676076673829141e-30,1.4520501795933532e-30,1.2591863662869685e-10,4.503773264339962e-42,1.9161415258155093e-28,2.073016264913121e-25,1.060603828860321e-33,3.3928114342925446e-15,1.164498274756646e-19,9.112115632839764e-29,3.130306924917702e-29,5.388493385929993e-25,7.566110672441451e-39,2.3555504844025587e-17,6.914035774859424e-23,7.169405550996253e-25,1.6409645349908395e-28,6.233557371454132e-14,5.954385663701912e-38,5.997234424651074e-33,4.152267073393639e-38,1.701377013070712e-17,1.8578410023193584e-27,4.508694624032035e-20,3.701441375625336e-10,1.0526560734192003e-09,5.890830332371846e-39
1.7602675502111087e-13,6.92752579531279e-17,5.089001899191096e-15,8.911936452341137e-16,2.212769079079635e-09,7.399820737915592e-23,1.1175146872548716e-27,1.182849929115548e-09,0.9998119473457336,6.702038196795173e-29,8.382195762143829e-13,2.4111673757858804e-14,2.1336589747309206e-22,5.931583688307575e-15,4.581713998284952e-25,2.3861342749759685e-28,8.852797991401993e-26,2.3197391059891167e-18,3.7302138558796273e-31,1.0970341171146644e-26,4.27813215962159e-23,1.2597408147895722e-23,6.07424630357129e-28,6.213755745141318e-23,7.937251211842522e-06,1.2651181122671049e-26,4.02568851628455e-21,3.1814605270202883e-29,1.229806811942069e-10,2.86492284622067e-17,7.158523772375617e-20,2.115466872856797e-12,2.508814210656639e-22,7.59751289658439e-12,6.627352973198958e-19,3.9966703676989877e-17,6.075765850255266e-05,8.566953267075935e-18,0.0001187115631182678,1.3351186830939745e-21,2.509100377838617e-23,5.3682335100335276e-15,3.03538780419141e-37,5.623190304504533e-07,5.1954341301124404e-15,1.8358268154182314e-19,5.333911639057832e-18,6.6920664565373045e-09,4.012494332817127e-18,1.1612931826285246e-24,1.7378471994788924e-08,5.8103561988546285e-31,9.732384136274446e-21,3.6527770689914404e-14,1.8712497911750492e-19,1.6247266032554109e-10,2.4166243723136764e-17,9.688732839939291e-24,2.4124027075629466e-27,9.886265812247999e-18,1.6913619570045417e-23,2.946352051225176e-10,1.5827519080484555e-25,2.236607626336106e-24,5.139816603454408e-18,7.135333417520811e-17,1.2004431756305906e-18,8.286886145085001e-19,2.545582105349754e-30,2.0660170866707862e-23,5.1145623456309306e-27,3.061340389917184e-16,1.1045879922538804e-12,3.085224336749591e-14,4.117195738695187e-28
2.305606311633342e-17,1.020327182186583e-18,2.696235608522285e-25,3.336701936973441e-08,2.4037632490356937e-15,5.890329360547499e-19,3.356663905162982e-11,5.336945158518248e-17,1.0483553903611015e-26,0.9999679327011108,3.1556808954531957e-27,2.2615006655540837e-12,1.129262340045963e-16,2.0773427127237197e-14,5.39119407096054e-23,2.6877390829453673e-13,5.82005776905703e-09,6.084338099442682e-26,7.821395229257178e-06,5.393861553952613e-18,5.761952635125692e-15,7.52168333946541e-23,6.736351565450605e-08,3.2632701874035774e-08,5.06579462735539e-23,1.4348781405715272e-05,8.139711177624401e-22,2.7861218106911556e-12,9.948052245413335e-23,2.7766214349446428e-15,1.3767172447090647e-20,2.246431961280891e-16,1.1012701762998872e-23,3.8129560804292376e-21,3.1431732366021327e-20,6.456693267158626e-17,1.3720427449624206e-17,8.83517259353539e-06,1.1686588639908171e-20,1.0519247695128797e-07,3.027988013186697e-20,5.949180572793656e-18,8.585031352481565e-09,9.765632273255103e-20,1.0760717827906774e-07,1.365638133795165e-21,5.728133891794499e-16,2.3088352111544427e-18,7.227577439990526e-22,1.402847073396626e-14,5.59993277542087e-21,1.625684196757822e-17,6.195531291182284e-22,4.009554108174525e-26,1.6843549595533506e-17,2.6642743067781724e-18,5.852311915077735e-07,2.043911422333622e-07,9.908250062703062e-15,2.8193930959812835e-20,1.0425798173108999e-20,9.700325958291347e-27,1.1851282177843814e-09,3.175168572511211e-09,2.0002165229976204e-29,1.9770413062746017e-14,5.374418968130852e-15,2.531979268171078e-26,5.1911771136425295e-21,2.1225049495754433e-10,4.8107118982843033e-11,1.8961314748051904e-28,2.678510291915363e-18,1.2247057107870902e-14,7.897577591897686e-10
