arg:  ['/var/spool/slurm/d/job02973/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(53)
The digit is a tensor(14)
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/19, Train Loss: 4.5936, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.1753, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.3171, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.3170, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.5627, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.5279, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.8404, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.8982, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.0314, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.4893, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.7630, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.0118, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.6582, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.9368, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.8751, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.9486, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.6662, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.9409, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.9917, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.7129, Train Accuracy: 0.0000, Validation Loss: 4.4184, Validation Accuracy: 0.0133

Epoch [2/250], Progress: 1/19, Train Loss: 4.0199, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 5.0211, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.3100, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.4165, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.4700, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.4963, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.4823, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.3584, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.5113, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.4823, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.2843, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.3346, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.5324, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.5261, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.5379, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.4631, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.7963, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.5749, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.5917, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.4847, Train Accuracy: 0.0000, Validation Loss: 4.3479, Validation Accuracy: 0.0133

Epoch [3/250], Progress: 1/19, Train Loss: 4.2491, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.5611, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.4052, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.2620, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.2750, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.5812, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.3094, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.3375, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.2850, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.3771, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 4.6104, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.4615, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 4.2836, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.7056, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.4668, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.3912, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.3415, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 4.3859, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 4.5694, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.4136, Train Accuracy: 0.0000, Validation Loss: 4.3392, Validation Accuracy: 0.0133

Epoch [4/250], Progress: 1/19, Train Loss: 4.3988, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 4.1995, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/19, Train Loss: 4.3093, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/19, Train Loss: 4.1244, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 4.6464, Train Accuracy: 0.0000
Epoch [4/250], Progress: 6/19, Train Loss: 4.5069, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/19, Train Loss: 4.4781, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/19, Train Loss: 4.3971, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 4.2438, Train Accuracy: 0.2500
Epoch [4/250], Progress: 10/19, Train Loss: 4.2388, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/19, Train Loss: 4.2298, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 4.5027, Train Accuracy: 0.0000
Epoch [4/250], Progress: 13/19, Train Loss: 4.4569, Train Accuracy: 0.0000
Epoch [4/250], Progress: 14/19, Train Loss: 4.5680, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/19, Train Loss: 4.4711, Train Accuracy: 0.0000
Epoch [4/250], Progress: 16/19, Train Loss: 4.3486, Train Accuracy: 0.0000
Epoch [4/250], Progress: 17/19, Train Loss: 4.4799, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 4.4910, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 4.5076, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 4.3999, Train Accuracy: 0.0133, Validation Loss: 4.3263, Validation Accuracy: 0.0133

Epoch [5/250], Progress: 1/19, Train Loss: 4.3335, Train Accuracy: 0.0000
Epoch [5/250], Progress: 2/19, Train Loss: 4.1864, Train Accuracy: 0.0000
Epoch [5/250], Progress: 3/19, Train Loss: 4.2607, Train Accuracy: 0.0000
Epoch [5/250], Progress: 4/19, Train Loss: 4.4603, Train Accuracy: 0.0000
Epoch [5/250], Progress: 5/19, Train Loss: 4.2495, Train Accuracy: 0.0000
Epoch [5/250], Progress: 6/19, Train Loss: 4.3559, Train Accuracy: 0.0000
Epoch [5/250], Progress: 7/19, Train Loss: 4.4362, Train Accuracy: 0.0000
Epoch [5/250], Progress: 8/19, Train Loss: 4.3740, Train Accuracy: 0.2500
Epoch [5/250], Progress: 9/19, Train Loss: 4.2658, Train Accuracy: 0.0000
Epoch [5/250], Progress: 10/19, Train Loss: 4.4799, Train Accuracy: 0.0000
Epoch [5/250], Progress: 11/19, Train Loss: 4.3646, Train Accuracy: 0.0000
Epoch [5/250], Progress: 12/19, Train Loss: 4.4916, Train Accuracy: 0.0000
Epoch [5/250], Progress: 13/19, Train Loss: 4.4250, Train Accuracy: 0.0000
Epoch [5/250], Progress: 14/19, Train Loss: 4.2868, Train Accuracy: 0.0000
Epoch [5/250], Progress: 15/19, Train Loss: 4.4022, Train Accuracy: 0.0000
Epoch [5/250], Progress: 16/19, Train Loss: 4.5597, Train Accuracy: 0.0000
Epoch [5/250], Progress: 17/19, Train Loss: 4.4680, Train Accuracy: 0.0000
Epoch [5/250], Progress: 18/19, Train Loss: 4.3735, Train Accuracy: 0.0000
Epoch [5/250], Progress: 19/19, Train Loss: 4.5055, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 4.3831, Train Accuracy: 0.0133, Validation Loss: 4.3211, Validation Accuracy: 0.0133

Epoch [6/250], Progress: 1/19, Train Loss: 4.2957, Train Accuracy: 0.0000
Epoch [6/250], Progress: 2/19, Train Loss: 4.4338, Train Accuracy: 0.0000
Epoch [6/250], Progress: 3/19, Train Loss: 4.3003, Train Accuracy: 0.0000
Epoch [6/250], Progress: 4/19, Train Loss: 4.2551, Train Accuracy: 0.0000
Epoch [6/250], Progress: 5/19, Train Loss: 4.3441, Train Accuracy: 0.0000
Epoch [6/250], Progress: 6/19, Train Loss: 4.3407, Train Accuracy: 0.0000
Epoch [6/250], Progress: 7/19, Train Loss: 4.4672, Train Accuracy: 0.0000
Epoch [6/250], Progress: 8/19, Train Loss: 4.1979, Train Accuracy: 0.0000
Epoch [6/250], Progress: 9/19, Train Loss: 4.4085, Train Accuracy: 0.0000
Epoch [6/250], Progress: 10/19, Train Loss: 4.3916, Train Accuracy: 0.0000
Epoch [6/250], Progress: 11/19, Train Loss: 4.5169, Train Accuracy: 0.0000
Epoch [6/250], Progress: 12/19, Train Loss: 4.3881, Train Accuracy: 0.0000
Epoch [6/250], Progress: 13/19, Train Loss: 4.4232, Train Accuracy: 0.0000
Epoch [6/250], Progress: 14/19, Train Loss: 4.3596, Train Accuracy: 0.0000
Epoch [6/250], Progress: 15/19, Train Loss: 4.4783, Train Accuracy: 0.0000
Epoch [6/250], Progress: 16/19, Train Loss: 4.4318, Train Accuracy: 0.0000
Epoch [6/250], Progress: 17/19, Train Loss: 4.5496, Train Accuracy: 0.0000
Epoch [6/250], Progress: 18/19, Train Loss: 4.4319, Train Accuracy: 0.0000
Epoch [6/250], Progress: 19/19, Train Loss: 4.4308, Train Accuracy: 0.0000
Epoch [6/250], Train Loss: 4.3918, Train Accuracy: 0.0000, Validation Loss: 4.3186, Validation Accuracy: 0.0000

Epoch [7/250], Progress: 1/19, Train Loss: 4.3704, Train Accuracy: 0.0000
Epoch [7/250], Progress: 2/19, Train Loss: 4.3415, Train Accuracy: 0.0000
Epoch [7/250], Progress: 3/19, Train Loss: 4.3686, Train Accuracy: 0.0000
Epoch [7/250], Progress: 4/19, Train Loss: 4.3609, Train Accuracy: 0.0000
