arg:  ['/var/spool/slurm/d/job02956/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(60)
The digit is a tensor(69)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 8.1504, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.3858, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 7.3778, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 8.5989, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 5.6632, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 6.0981, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 11.7686, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.2639, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.3344, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 5.6875, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 11.0773, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.0632, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.5829, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.7547, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.6748, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.4653, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 7.5226, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.5203, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.9140, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 6.2581, Train Accuracy: 0.0000, Validation Loss: 4.0753, Validation Accuracy: 0.0667

Epoch [2/250], Progress: 1/19, Train Loss: 4.4213, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.8356, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.8324, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 3.5704, Train Accuracy: 0.2500
Epoch [2/250], Progress: 5/19, Train Loss: 3.8888, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.8004, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.3799, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.9138, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.0193, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.4172, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 3.8525, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.0761, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.9776, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 3.9252, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.2959, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.3556, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 3.5807, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.4207, Train Accuracy: 0.2500
Epoch [2/250], Progress: 19/19, Train Loss: 3.5311, Train Accuracy: 0.3333
Epoch [2/250], Train Loss: 4.0050, Train Accuracy: 0.0533, Validation Loss: 3.3690, Validation Accuracy: 0.2000

Epoch [3/250], Progress: 1/19, Train Loss: 3.3950, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 3.8550, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.6298, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 2.9074, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 2.7687, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 2.7916, Train Accuracy: 0.5000
Epoch [3/250], Progress: 7/19, Train Loss: 2.9688, Train Accuracy: 0.2500
Epoch [3/250], Progress: 8/19, Train Loss: 3.5529, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/19, Train Loss: 3.3797, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 2.5270, Train Accuracy: 0.2500
Epoch [3/250], Progress: 11/19, Train Loss: 2.9503, Train Accuracy: 0.5000
Epoch [3/250], Progress: 12/19, Train Loss: 3.8526, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.3230, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 2.7050, Train Accuracy: 0.2500
Epoch [3/250], Progress: 15/19, Train Loss: 3.2094, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 3.5526, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 3.6639, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 3.6538, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 3.3927, Train Accuracy: 0.3333
Epoch [3/250], Train Loss: 3.2673, Train Accuracy: 0.1333, Validation Loss: 2.6697, Validation Accuracy: 0.3600

Epoch [4/250], Progress: 1/19, Train Loss: 3.1497, Train Accuracy: 0.2500
Epoch [4/250], Progress: 2/19, Train Loss: 1.8898, Train Accuracy: 1.0000
Epoch [4/250], Progress: 3/19, Train Loss: 2.6697, Train Accuracy: 0.5000
Epoch [4/250], Progress: 4/19, Train Loss: 2.8618, Train Accuracy: 0.5000
Epoch [4/250], Progress: 5/19, Train Loss: 2.2097, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/19, Train Loss: 2.2467, Train Accuracy: 0.2500
Epoch [4/250], Progress: 7/19, Train Loss: 1.9898, Train Accuracy: 0.5000
Epoch [4/250], Progress: 8/19, Train Loss: 3.1659, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 2.5042, Train Accuracy: 0.2500
Epoch [4/250], Progress: 10/19, Train Loss: 2.9000, Train Accuracy: 0.2500
Epoch [4/250], Progress: 11/19, Train Loss: 2.5069, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 2.6502, Train Accuracy: 0.2500
Epoch [4/250], Progress: 13/19, Train Loss: 2.6335, Train Accuracy: 0.2500
Epoch [4/250], Progress: 14/19, Train Loss: 2.6925, Train Accuracy: 0.2500
Epoch [4/250], Progress: 15/19, Train Loss: 3.5738, Train Accuracy: 0.0000
Epoch [4/250], Progress: 16/19, Train Loss: 1.9053, Train Accuracy: 0.5000
Epoch [4/250], Progress: 17/19, Train Loss: 2.8006, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 3.0208, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 2.1706, Train Accuracy: 0.3333
Epoch [4/250], Train Loss: 2.6074, Train Accuracy: 0.2800, Validation Loss: 1.9124, Validation Accuracy: 0.5733

Epoch [5/250], Progress: 1/19, Train Loss: 2.2709, Train Accuracy: 0.7500
Epoch [5/250], Progress: 2/19, Train Loss: 1.9748, Train Accuracy: 0.5000
Epoch [5/250], Progress: 3/19, Train Loss: 1.3038, Train Accuracy: 1.0000
Epoch [5/250], Progress: 4/19, Train Loss: 2.2513, Train Accuracy: 0.2500
Epoch [5/250], Progress: 5/19, Train Loss: 2.2696, Train Accuracy: 0.2500
Epoch [5/250], Progress: 6/19, Train Loss: 2.7063, Train Accuracy: 0.2500
Epoch [5/250], Progress: 7/19, Train Loss: 1.7552, Train Accuracy: 0.5000
Epoch [5/250], Progress: 8/19, Train Loss: 2.5960, Train Accuracy: 0.2500
Epoch [5/250], Progress: 9/19, Train Loss: 1.5719, Train Accuracy: 0.5000
Epoch [5/250], Progress: 10/19, Train Loss: 1.9515, Train Accuracy: 0.2500
Epoch [5/250], Progress: 11/19, Train Loss: 2.2093, Train Accuracy: 0.2500
Epoch [5/250], Progress: 12/19, Train Loss: 1.7999, Train Accuracy: 0.2500
Epoch [5/250], Progress: 13/19, Train Loss: 2.3232, Train Accuracy: 0.0000
Epoch [5/250], Progress: 14/19, Train Loss: 2.4338, Train Accuracy: 0.0000
Epoch [5/250], Progress: 15/19, Train Loss: 2.4653, Train Accuracy: 0.0000
Epoch [5/250], Progress: 16/19, Train Loss: 2.1401, Train Accuracy: 0.2500
Epoch [5/250], Progress: 17/19, Train Loss: 2.3979, Train Accuracy: 0.5000
Epoch [5/250], Progress: 18/19, Train Loss: 3.0111, Train Accuracy: 0.2500
Epoch [5/250], Progress: 19/19, Train Loss: 2.5947, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 2.2119, Train Accuracy: 0.3200, Validation Loss: 1.3500, Validation Accuracy: 0.7867

Epoch [6/250], Progress: 1/19, Train Loss: 0.9035, Train Accuracy: 0.7500
Epoch [6/250], Progress: 2/19, Train Loss: 1.8869, Train Accuracy: 0.7500
Epoch [6/250], Progress: 3/19, Train Loss: 1.4470, Train Accuracy: 0.5000
Epoch [6/250], Progress: 4/19, Train Loss: 1.7127, Train Accuracy: 0.7500
Epoch [6/250], Progress: 5/19, Train Loss: 1.3699, Train Accuracy: 1.0000
Epoch [6/250], Progress: 6/19, Train Loss: 0.9737, Train Accuracy: 0.7500
Epoch [6/250], Progress: 7/19, Train Loss: 1.0562, Train Accuracy: 0.5000
Epoch [6/250], Progress: 8/19, Train Loss: 1.5484, Train Accuracy: 0.5000
Epoch [6/250], Progress: 9/19, Train Loss: 1.0875, Train Accuracy: 0.7500
Epoch [6/250], Progress: 10/19, Train Loss: 1.6192, Train Accuracy: 0.5000
Epoch [6/250], Progress: 11/19, Train Loss: 1.0994, Train Accuracy: 0.7500
Epoch [6/250], Progress: 12/19, Train Loss: 1.7289, Train Accuracy: 0.7500
Epoch [6/250], Progress: 13/19, Train Loss: 1.9298, Train Accuracy: 0.5000
Epoch [6/250], Progress: 14/19, Train Loss: 1.3628, Train Accuracy: 0.2500
Epoch [6/250], Progress: 15/19, Train Loss: 0.6228, Train Accuracy: 0.7500
Epoch [6/250], Progress: 16/19, Train Loss: 1.9009, Train Accuracy: 0.5000
Epoch [6/250], Progress: 17/19, Train Loss: 1.3799, Train Accuracy: 0.2500
Epoch [6/250], Progress: 18/19, Train Loss: 1.7215, Train Accuracy: 0.2500
Epoch [6/250], Progress: 19/19, Train Loss: 1.2329, Train Accuracy: 0.3333
Epoch [6/250], Train Loss: 1.3991, Train Accuracy: 0.5867, Validation Loss: 1.0934, Validation Accuracy: 0.7333

Epoch [7/250], Progress: 1/19, Train Loss: 1.4134, Train Accuracy: 0.7500
Epoch [7/250], Progress: 2/19, Train Loss: 1.2337, Train Accuracy: 0.7500
Epoch [7/250], Progress: 3/19, Train Loss: 0.9449, Train Accuracy: 0.7500
