arg:  ['/var/spool/slurm/d/job02967/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(57)
The digit is a tensor(8)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 8.4241, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 6.8449, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 8.5693, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 6.8243, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.6942, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 14.8404, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 11.1785, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 5.6056, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.8234, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 6.3297, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.3439, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 10.5663, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.8639, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.8313, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 6.5653, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 37.1463, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 7.3880, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 6.7381, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 6.0469, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 8.9276, Train Accuracy: 0.0000, Validation Loss: 3.6937, Validation Accuracy: 0.2400

Epoch [2/250], Progress: 1/19, Train Loss: 2.6832, Train Accuracy: 0.2500
Epoch [2/250], Progress: 2/19, Train Loss: 4.1524, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.1389, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 3.5942, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.2576, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.8347, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 2.7606, Train Accuracy: 0.5000
Epoch [2/250], Progress: 8/19, Train Loss: 4.0456, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.1767, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.1603, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 3.7739, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 3.5317, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.4487, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.1573, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 11.8732, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 3.2845, Train Accuracy: 0.2500
Epoch [2/250], Progress: 17/19, Train Loss: 4.1137, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.6416, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.4486, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.0567, Train Accuracy: 0.0533, Validation Loss: 2.6842, Validation Accuracy: 0.4533

Epoch [3/250], Progress: 1/19, Train Loss: 3.2813, Train Accuracy: 0.2500
Epoch [3/250], Progress: 2/19, Train Loss: 3.2923, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/19, Train Loss: 1.9003, Train Accuracy: 0.7500
Epoch [3/250], Progress: 4/19, Train Loss: 2.8731, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 2.1538, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/19, Train Loss: 2.5577, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 1.2918, Train Accuracy: 0.5000
