arg:  ['/var/spool/slurm/d/job05810/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(2)
The digit is a tensor(17)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 7.9276, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.3582, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 5.1892, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 6.9244, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.6029, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 6.0933, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 7.0261, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 6.2851, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.7864, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.7738, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.5465, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.1881, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.3611, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.3950, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 3.8605, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.2672, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 5.8772, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8518, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 3.9842, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 5.3841, Train Accuracy: 0.0000, Validation Loss: 4.1197, Validation Accuracy: 0.0933

Epoch [2/250], Progress: 1/19, Train Loss: 3.8772, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.2412, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 3.9299, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 4.5182, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.9584, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.2274, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.1310, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.2762, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.7943, Train Accuracy: 0.2500
Epoch [2/250], Progress: 10/19, Train Loss: 3.6730, Train Accuracy: 0.2500
Epoch [2/250], Progress: 11/19, Train Loss: 3.8175, Train Accuracy: 0.2500
Epoch [2/250], Progress: 12/19, Train Loss: 4.1441, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.8209, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.0567, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.0035, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.1042, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 3.6447, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.2866, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.1245, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.0331, Train Accuracy: 0.0533, Validation Loss: 3.7081, Validation Accuracy: 0.1333

Epoch [3/250], Progress: 1/19, Train Loss: 4.0432, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 3.4767, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/19, Train Loss: 3.9142, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 3.4814, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 2.7852, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 3.5442, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 4.3129, Train Accuracy: 0.0000
