arg:  ['/var/spool/slurm/d/job02898/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_32_128_3_05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(0)
The digit is a tensor(8)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.2657, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.3487, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.6758, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.2695, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.3481, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.4904, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.5170, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.5353, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.3269, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.6743, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.6802, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.8306, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.8534, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.5359, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.8681, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.7115, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.9065, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.6897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6032, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.6032, Train Accuracy: 0.0000, Validation Loss: 4.3494, Validation Accuracy: 0.0022

Epoch [2/250], Progress: 1/19, Train Loss: 4.6039, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.1737, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.2198, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.2941, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.4218, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.4399, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.3145, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.4165, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.3369, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.3430, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.4619, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.4310, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.3845, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.5531, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.3569, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.4615, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.5045, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.4434, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.3764, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.3764, Train Accuracy: 0.0000, Validation Loss: 4.3230, Validation Accuracy: 0.0351

Epoch [3/250], Progress: 1/19, Train Loss: 4.4082, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.3635, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.3446, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.2785, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.3273, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.3247, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.3111, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.3107, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/19, Train Loss: 4.3387, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.1935, Train Accuracy: 0.2500
Epoch [3/250], Progress: 11/19, Train Loss: 4.3660, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.4207, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 4.3636, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.3923, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.3246, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.3662, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.3518, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 4.4596, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 4.4468, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.4468, Train Accuracy: 0.0267, Validation Loss: 4.3183, Validation Accuracy: 0.0536

Epoch [4/250], Progress: 1/19, Train Loss: 4.3700, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 4.4384, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/19, Train Loss: 4.3348, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/19, Train Loss: 4.3164, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 4.3379, Train Accuracy: 0.0000
Epoch [4/250], Progress: 6/19, Train Loss: 4.2445, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/19, Train Loss: 4.2752, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/19, Train Loss: 4.3229, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 4.3521, Train Accuracy: 0.0000
Epoch [4/250], Progress: 10/19, Train Loss: 4.3867, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/19, Train Loss: 4.3111, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 4.4013, Train Accuracy: 0.0000
