arg:  ['/var/spool/slurm/d/job02583/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(54)
The digit is a tensor(74)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 5.1397, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 5.2572, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.8817, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 6.3391, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.9345, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.2441, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.3992, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 3.8374, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.4311, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 10.5971, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.7690, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.6515, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.6375, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.6246, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.6265, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.0181, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.6940, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8056, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 5.1312, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 5.1312, Train Accuracy: 0.0000, Validation Loss: 3.9747, Validation Accuracy: 0.1441

Epoch [2/250], Progress: 1/19, Train Loss: 4.2012, Train Accuracy: 0.2500
Epoch [2/250], Progress: 2/19, Train Loss: 4.0375, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.1596, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.3678, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.8070, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 3.9183, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.2673, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.3006, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.3003, Train Accuracy: 0.2500
Epoch [2/250], Progress: 10/19, Train Loss: 3.7775, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.1924, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 3.0852, Train Accuracy: 0.2500
Epoch [2/250], Progress: 13/19, Train Loss: 4.0140, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 3.9352, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.1908, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.1049, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.4511, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.8430, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.0741, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.0741, Train Accuracy: 0.0533, Validation Loss: 3.5610, Validation Accuracy: 0.1539

Epoch [3/250], Progress: 1/19, Train Loss: 3.4889, Train Accuracy: 0.2500
Epoch [3/250], Progress: 2/19, Train Loss: 3.1880, Train Accuracy: 0.5000
Epoch [3/250], Progress: 3/19, Train Loss: 3.7980, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 2.8746, Train Accuracy: 0.5000
Epoch [3/250], Progress: 5/19, Train Loss: 3.7047, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 2.9873, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 2.8346, Train Accuracy: 0.2500
Epoch [3/250], Progress: 8/19, Train Loss: 3.5641, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 3.5487, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 3.2060, Train Accuracy: 0.5000
Epoch [3/250], Progress: 11/19, Train Loss: 3.9348, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 3.7245, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.5443, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 3.1568, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 2.6157, Train Accuracy: 0.2500
Epoch [3/250], Progress: 16/19, Train Loss: 3.1103, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 3.8801, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 3.9094, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 3.3912, Train Accuracy: 0.3333
Epoch [3/250], Train Loss: 3.3912, Train Accuracy: 0.1733, Validation Loss: 2.8014, Validation Accuracy: 0.2366

Epoch [4/250], Progress: 1/19, Train Loss: 3.2022, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 2.9345, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/19, Train Loss: 2.5731, Train Accuracy: 0.5000
Epoch [4/250], Progress: 4/19, Train Loss: 3.2598, Train Accuracy: 0.2500
Epoch [4/250], Progress: 5/19, Train Loss: 2.4447, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/19, Train Loss: 1.4106, Train Accuracy: 0.7500
Epoch [4/250], Progress: 7/19, Train Loss: 3.1200, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/19, Train Loss: 2.8008, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 2.4315, Train Accuracy: 0.5000
Epoch [4/250], Progress: 10/19, Train Loss: 2.8750, Train Accuracy: 0.5000
Epoch [4/250], Progress: 11/19, Train Loss: 1.7406, Train Accuracy: 0.7500
Epoch [4/250], Progress: 12/19, Train Loss: 3.3518, Train Accuracy: 0.0000
Epoch [4/250], Progress: 13/19, Train Loss: 3.5587, Train Accuracy: 0.2500
Epoch [4/250], Progress: 14/19, Train Loss: 2.6743, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/19, Train Loss: 2.5436, Train Accuracy: 0.2500
Epoch [4/250], Progress: 16/19, Train Loss: 2.1557, Train Accuracy: 0.5000
Epoch [4/250], Progress: 17/19, Train Loss: 4.1604, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 2.8893, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 2.7410, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 2.7410, Train Accuracy: 0.2667, Validation Loss: 2.0673, Validation Accuracy: 0.3941

Epoch [5/250], Progress: 1/19, Train Loss: 1.4814, Train Accuracy: 0.7500
Epoch [5/250], Progress: 2/19, Train Loss: 2.5080, Train Accuracy: 0.5000
Epoch [5/250], Progress: 3/19, Train Loss: 2.3776, Train Accuracy: 0.7500
Epoch [5/250], Progress: 4/19, Train Loss: 1.8360, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/19, Train Loss: 2.8240, Train Accuracy: 0.2500
Epoch [5/250], Progress: 6/19, Train Loss: 2.6503, Train Accuracy: 0.2500
Epoch [5/250], Progress: 7/19, Train Loss: 2.3890, Train Accuracy: 0.2500
Epoch [5/250], Progress: 8/19, Train Loss: 2.0091, Train Accuracy: 0.2500
Epoch [5/250], Progress: 9/19, Train Loss: 1.9115, Train Accuracy: 0.5000
Epoch [5/250], Progress: 10/19, Train Loss: 1.8335, Train Accuracy: 0.2500
