arg:  ['/var/spool/slurm/d/job02615/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(37)
The digit is a tensor(0)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.2217, Train Accuracy: 0.2500
Epoch [1/250], Progress: 2/19, Train Loss: 4.1729, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 10.2752, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 3.8776, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.4523, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.3603, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 6.6981, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 5.2531, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.7659, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 6.9749, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.0061, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.9908, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 6.4141, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.2612, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.8345, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.6859, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 5.3060, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.1555, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6226, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.6226, Train Accuracy: 0.0133, Validation Loss: 4.0926, Validation Accuracy: 0.1806

Epoch [2/250], Progress: 1/19, Train Loss: 4.2997, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.6053, Train Accuracy: 0.5000
Epoch [2/250], Progress: 3/19, Train Loss: 3.6784, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 4.4362, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.0658, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.4894, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.0155, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.7024, Train Accuracy: 0.2500
Epoch [2/250], Progress: 9/19, Train Loss: 4.2656, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.0337, Train Accuracy: 0.2500
Epoch [2/250], Progress: 11/19, Train Loss: 4.2427, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.2591, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.2127, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.4368, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.5539, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.5693, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.3826, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.4115, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.2428, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.2428, Train Accuracy: 0.0667, Validation Loss: 3.8342, Validation Accuracy: 0.1140

Epoch [3/250], Progress: 1/19, Train Loss: 4.1382, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 3.8923, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.9503, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 3.6647, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 3.8040, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 4.0114, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 3.8379, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 3.1236, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/19, Train Loss: 3.8984, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 3.9919, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 3.7040, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.0938, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.2219, Train Accuracy: 0.2500
Epoch [3/250], Progress: 14/19, Train Loss: 3.4577, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 3.6945, Train Accuracy: 0.2500
Epoch [3/250], Progress: 16/19, Train Loss: 4.2814, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.1936, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 3.3716, Train Accuracy: 0.5000
Epoch [3/250], Progress: 19/19, Train Loss: 2.9746, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 2.9746, Train Accuracy: 0.0933, Validation Loss: 3.1482, Validation Accuracy: 0.2735

Epoch [4/250], Progress: 1/19, Train Loss: 3.8715, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 3.4909, Train Accuracy: 0.5000
Epoch [4/250], Progress: 3/19, Train Loss: 3.0199, Train Accuracy: 0.2500
Epoch [4/250], Progress: 4/19, Train Loss: 3.6480, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 3.7501, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/19, Train Loss: 3.5416, Train Accuracy: 0.2500
Epoch [4/250], Progress: 7/19, Train Loss: 3.5746, Train Accuracy: 0.0000
Epoch [4/250], Progress: 8/19, Train Loss: 3.4590, Train Accuracy: 0.2500
Epoch [4/250], Progress: 9/19, Train Loss: 2.5872, Train Accuracy: 0.2500
Epoch [4/250], Progress: 10/19, Train Loss: 3.5253, Train Accuracy: 0.0000
Epoch [4/250], Progress: 11/19, Train Loss: 3.5117, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 2.9768, Train Accuracy: 0.2500
Epoch [4/250], Progress: 13/19, Train Loss: 2.6702, Train Accuracy: 0.5000
Epoch [4/250], Progress: 14/19, Train Loss: 2.7210, Train Accuracy: 0.2500
Epoch [4/250], Progress: 15/19, Train Loss: 2.8866, Train Accuracy: 0.2500
Epoch [4/250], Progress: 16/19, Train Loss: 2.6965, Train Accuracy: 0.5000
Epoch [4/250], Progress: 17/19, Train Loss: 3.1182, Train Accuracy: 0.0000
Epoch [4/250], Progress: 18/19, Train Loss: 3.7417, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 3.1526, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 3.1526, Train Accuracy: 0.1867, Validation Loss: 2.6354, Validation Accuracy: 0.3023

Epoch [5/250], Progress: 1/19, Train Loss: 2.2696, Train Accuracy: 0.5000
Epoch [5/250], Progress: 2/19, Train Loss: 3.3144, Train Accuracy: 0.0000
