arg:  ['/var/spool/slurm/d/job02972/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(40)
The digit is a tensor(59)
*************** New model ***************
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/19, Train Loss: 4.7106, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.4118, Train Accuracy: 0.2500
Epoch [1/250], Progress: 3/19, Train Loss: 5.0345, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.3058, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.5277, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.3971, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.0499, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.9320, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.8269, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.3432, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.6661, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.6035, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.2347, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.9633, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.4959, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.9408, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.9215, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8958, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6406, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.7843, Train Accuracy: 0.0133, Validation Loss: 4.4400, Validation Accuracy: 0.0133

Epoch [2/250], Progress: 1/19, Train Loss: 4.2889, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.7187, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.6518, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.6587, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.1317, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.6526, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.3375, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.2186, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.5010, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.6829, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.2106, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.6328, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.6054, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.5358, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.5831, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.5349, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.6384, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.6379, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.4398, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.5085, Train Accuracy: 0.0000, Validation Loss: 4.3522, Validation Accuracy: 0.0133

Epoch [3/250], Progress: 1/19, Train Loss: 4.1996, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.5507, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.4614, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.1758, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.5341, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.3647, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.6258, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.3736, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.3027, Train Accuracy: 0.0000
