arg:  ['/var/spool/slurm/d/job02794/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(33)
The digit is a tensor(74)
*************** New model ***************
Details: embed_dim = 64 num_heads = 32 num_induce = 128 stack = 3 dropout = 0.2 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/19, Train Loss: 4.6179, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.4758, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.2993, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.6897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.9712, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.6523, Train Accuracy: 0.2500
Epoch [1/250], Progress: 7/19, Train Loss: 5.4169, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.3254, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.6714, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.9589, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.6192, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.7091, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.5988, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.0283, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.4186, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.7162, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 5.2550, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.1990, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.5230, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.5230, Train Accuracy: 0.0133, Validation Loss: 4.4018, Validation Accuracy: 0.0226

Epoch [2/250], Progress: 1/19, Train Loss: 4.3659, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.6634, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.0855, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 4.1743, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.1770, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.2552, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.6117, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.7782, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.3038, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.7255, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.3529, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.6915, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.7075, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.5740, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.8967, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.3240, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.6626, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.5493, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.4874, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.4874, Train Accuracy: 0.0133, Validation Loss: 4.3475, Validation Accuracy: 0.0145

Epoch [3/250], Progress: 1/19, Train Loss: 4.1752, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.2781, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.1296, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.4931, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.3555, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.3833, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.4090, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.5712, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.3937, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.5319, Train Accuracy: 0.0000
