arg:  ['/var/spool/slurm/d/job02587/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(15)
The digit is a tensor(29)
*************** New model ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.6783, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 5.1821, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.3135, Train Accuracy: 0.2500
Epoch [1/250], Progress: 4/19, Train Loss: 4.4670, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.6354, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 3.8837, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.0923, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.7182, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.1897, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.5282, Train Accuracy: 0.2500
Epoch [1/250], Progress: 11/19, Train Loss: 4.4855, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.8729, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.3050, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.9829, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.7442, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.8698, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.6541, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.7385, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.5748, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.5748, Train Accuracy: 0.0267, Validation Loss: 4.4007, Validation Accuracy: 0.0030

Epoch [2/250], Progress: 1/19, Train Loss: 4.3546, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.4913, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.1410, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.3348, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.3557, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.3880, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.5055, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.5668, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.2657, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.4183, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.7258, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.2471, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.5225, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.4128, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.9894, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.6362, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.8076, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.7482, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.8379, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.8379, Train Accuracy: 0.0000, Validation Loss: 4.3597, Validation Accuracy: 0.0145

Epoch [3/250], Progress: 1/19, Train Loss: 4.4765, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.3132, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.4425, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.5250, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.4503, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.1872, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.2964, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.1829, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.2094, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.1608, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 4.2536, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.5162, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 4.6916, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.6069, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.7146, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.3080, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.4773, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 4.6994, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 4.4707, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.4707, Train Accuracy: 0.0000, Validation Loss: 4.3409, Validation Accuracy: 0.0082

Epoch [4/250], Progress: 1/19, Train Loss: 4.3156, Train Accuracy: 0.2500
Epoch [4/250], Progress: 2/19, Train Loss: 4.4787, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/19, Train Loss: 4.4154, Train Accuracy: 0.0000
