arg:  ['/var/spool/slurm/d/job02585/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(44)
The digit is a tensor(24)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 10.0209, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 5.8723, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 12.2147, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 5.1863, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.6308, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.4787, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 7.6735, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 6.6129, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.3218, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.8399, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.8454, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.0045, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.6703, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.6333, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.3888, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.5014, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.8512, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.1934, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6986, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.6986, Train Accuracy: 0.0000, Validation Loss: 4.0099, Validation Accuracy: 0.0707

Epoch [2/250], Progress: 1/19, Train Loss: 4.4296, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.7847, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.0602, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.1257, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.0389, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.7153, Train Accuracy: 0.2500
Epoch [2/250], Progress: 7/19, Train Loss: 4.2362, Train Accuracy: 0.2500
Epoch [2/250], Progress: 8/19, Train Loss: 4.4286, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.9944, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.0729, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.0482, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.0005, Train Accuracy: 0.2500
Epoch [2/250], Progress: 13/19, Train Loss: 4.3460, Train Accuracy: 0.2500
Epoch [2/250], Progress: 14/19, Train Loss: 3.5630, Train Accuracy: 0.2500
Epoch [2/250], Progress: 15/19, Train Loss: 3.3219, Train Accuracy: 0.2500
Epoch [2/250], Progress: 16/19, Train Loss: 4.0103, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.2079, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 3.5052, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.2826, Train Accuracy: 0.3333
Epoch [2/250], Train Loss: 3.2826, Train Accuracy: 0.0933, Validation Loss: 3.5361, Validation Accuracy: 0.1339

Epoch [3/250], Progress: 1/19, Train Loss: 3.4320, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.0929, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.4659, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 3.4147, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 3.5135, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 2.7318, Train Accuracy: 0.5000
