arg:  ['/var/spool/slurm/d/job06582/slurm_script', 'ContrastiveLearning_Model/saved_models/unmasked_encoder_64_16_32_3_0.2']
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(24)
The digit is a tensor(4)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.9761, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 13.0223, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 17.6047, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 14.8623, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 6.2400, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.0611, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.1122, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 6.8646, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 6.4833, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.4435, Train Accuracy: 0.2500
Epoch [1/250], Progress: 11/19, Train Loss: 4.5169, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.0510, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 12.9240, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.2724, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.3242, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 19.9910, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.5621, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.2241, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 6.3594, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 7.9418, Train Accuracy: 0.0133, Validation Loss: 4.5214, Validation Accuracy: 0.0267

Epoch [2/250], Progress: 1/19, Train Loss: 4.1192, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.1122, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.2279, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 5.2403, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.0691, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.0924, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 3.9133, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.4688, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.4082, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.3730, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.1123, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.3180, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.1652, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.7601, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.2465, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.3665, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 5.4042, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.4014, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.4809, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.3831, Train Accuracy: 0.0000, Validation Loss: 4.1257, Validation Accuracy: 0.0533

Epoch [3/250], Progress: 1/19, Train Loss: 4.2895, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.1021, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.1916, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.5567, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 3.5530, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 3.9123, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 3.5204, Train Accuracy: 0.2500
