arg:  ['/var/spool/slurm/d/job02612/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(23)
The digit is a tensor(1)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 9.1741, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 6.0587, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.2039, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 5.1967, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 10.5629, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.3993, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.1102, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 6.2879, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.0625, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.8262, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 6.9254, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.5188, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.2922, Train Accuracy: 0.2500
Epoch [1/250], Progress: 14/19, Train Loss: 4.9329, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.9829, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.4262, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.7851, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8034, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.9130, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.9130, Train Accuracy: 0.0133, Validation Loss: 4.0766, Validation Accuracy: 0.0333

Epoch [2/250], Progress: 1/19, Train Loss: 3.7844, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.0971, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.3601, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.2773, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.8852, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 3.7906, Train Accuracy: 0.2500
Epoch [2/250], Progress: 7/19, Train Loss: 4.1477, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.8897, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.4388, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.0852, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.0557, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.2839, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.0713, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.1355, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.1347, Train Accuracy: 0.2500
Epoch [2/250], Progress: 16/19, Train Loss: 4.2080, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.3814, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.3899, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.5236, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.5236, Train Accuracy: 0.0400, Validation Loss: 3.6633, Validation Accuracy: 0.1907

Epoch [3/250], Progress: 1/19, Train Loss: 3.6132, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 3.7974, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 3.7130, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/19, Train Loss: 4.0285, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 3.4069, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 3.8988, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.0654, Train Accuracy: 0.2500
Epoch [3/250], Progress: 8/19, Train Loss: 3.6498, Train Accuracy: 0.2500
Epoch [3/250], Progress: 9/19, Train Loss: 3.9754, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 3.8265, Train Accuracy: 0.2500
Epoch [3/250], Progress: 11/19, Train Loss: 3.2035, Train Accuracy: 0.2500
Epoch [3/250], Progress: 12/19, Train Loss: 3.4085, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 3.9951, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.0434, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 2.9577, Train Accuracy: 0.5000
Epoch [3/250], Progress: 16/19, Train Loss: 3.4846, Train Accuracy: 0.2500
Epoch [3/250], Progress: 17/19, Train Loss: 4.1553, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 3.3751, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 3.4657, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 3.4657, Train Accuracy: 0.1200, Validation Loss: 3.1127, Validation Accuracy: 0.3326

Epoch [4/250], Progress: 1/19, Train Loss: 3.7654, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 3.5666, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/19, Train Loss: 3.4064, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/19, Train Loss: 3.7483, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 3.4963, Train Accuracy: 0.2500
Epoch [4/250], Progress: 6/19, Train Loss: 2.9388, Train Accuracy: 0.2500
Epoch [4/250], Progress: 7/19, Train Loss: 2.8580, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/19, Train Loss: 2.2178, Train Accuracy: 0.5000
Epoch [4/250], Progress: 9/19, Train Loss: 2.9444, Train Accuracy: 0.2500
Epoch [4/250], Progress: 10/19, Train Loss: 3.1205, Train Accuracy: 0.2500
Epoch [4/250], Progress: 11/19, Train Loss: 3.3843, Train Accuracy: 0.2500
Epoch [4/250], Progress: 12/19, Train Loss: 2.7879, Train Accuracy: 0.2500
Epoch [4/250], Progress: 13/19, Train Loss: 2.9423, Train Accuracy: 0.0000
Epoch [4/250], Progress: 14/19, Train Loss: 3.3378, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/19, Train Loss: 2.9711, Train Accuracy: 0.2500
Epoch [4/250], Progress: 16/19, Train Loss: 3.7168, Train Accuracy: 0.0000
Epoch [4/250], Progress: 17/19, Train Loss: 3.0076, Train Accuracy: 0.2500
Epoch [4/250], Progress: 18/19, Train Loss: 3.3460, Train Accuracy: 0.0000
Epoch [4/250], Progress: 19/19, Train Loss: 3.7451, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 3.7451, Train Accuracy: 0.1600, Validation Loss: 2.5644, Validation Accuracy: 0.3952

Epoch [5/250], Progress: 1/19, Train Loss: 2.0047, Train Accuracy: 0.5000
Epoch [5/250], Progress: 2/19, Train Loss: 1.9106, Train Accuracy: 0.7500
Epoch [5/250], Progress: 3/19, Train Loss: 3.0609, Train Accuracy: 0.0000
Epoch [5/250], Progress: 4/19, Train Loss: 1.8690, Train Accuracy: 0.7500
Epoch [5/250], Progress: 5/19, Train Loss: 3.2979, Train Accuracy: 0.0000
Epoch [5/250], Progress: 6/19, Train Loss: 2.0917, Train Accuracy: 0.5000
Epoch [5/250], Progress: 7/19, Train Loss: 2.8424, Train Accuracy: 0.2500
Epoch [5/250], Progress: 8/19, Train Loss: 3.3164, Train Accuracy: 0.2500
Epoch [5/250], Progress: 9/19, Train Loss: 3.5843, Train Accuracy: 0.0000
Epoch [5/250], Progress: 10/19, Train Loss: 2.3756, Train Accuracy: 0.0000
Epoch [5/250], Progress: 11/19, Train Loss: 2.9568, Train Accuracy: 0.0000
Epoch [5/250], Progress: 12/19, Train Loss: 4.7218, Train Accuracy: 0.0000
Epoch [5/250], Progress: 13/19, Train Loss: 2.8673, Train Accuracy: 0.2500
Epoch [5/250], Progress: 14/19, Train Loss: 3.1709, Train Accuracy: 0.0000
Epoch [5/250], Progress: 15/19, Train Loss: 3.5216, Train Accuracy: 0.2500
Epoch [5/250], Progress: 16/19, Train Loss: 2.5320, Train Accuracy: 0.2500
Epoch [5/250], Progress: 17/19, Train Loss: 2.5706, Train Accuracy: 0.0000
Epoch [5/250], Progress: 18/19, Train Loss: 3.0524, Train Accuracy: 0.2500
Epoch [5/250], Progress: 19/19, Train Loss: 3.5983, Train Accuracy: 0.0000
Epoch [5/250], Train Loss: 3.5983, Train Accuracy: 0.2133, Validation Loss: 2.1894, Validation Accuracy: 0.5145

Epoch [6/250], Progress: 1/19, Train Loss: 1.8458, Train Accuracy: 0.5000
Epoch [6/250], Progress: 2/19, Train Loss: 2.4940, Train Accuracy: 0.5000
Epoch [6/250], Progress: 3/19, Train Loss: 2.3836, Train Accuracy: 0.5000
Epoch [6/250], Progress: 4/19, Train Loss: 1.5712, Train Accuracy: 0.7500
Epoch [6/250], Progress: 5/19, Train Loss: 3.3780, Train Accuracy: 0.0000
