arg:  ['/var/spool/slurm/d/job02606/slurm_script', 'masked_encoder_large']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(40)
The digit is a tensor(45)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.7249, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 5.9706, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 7.5246, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 6.7775, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.4952, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 5.3420, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.9220, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 6.5327, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.6443, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 6.9216, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 5.2630, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.3513, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.8305, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.3472, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 5.6464, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.8011, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.6620, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.6171, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.6239, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.6239, Train Accuracy: 0.0000, Validation Loss: 3.8264, Validation Accuracy: 0.0880

Epoch [2/250], Progress: 1/19, Train Loss: 4.3683, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.9314, Train Accuracy: 0.2500
Epoch [2/250], Progress: 3/19, Train Loss: 4.2163, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.0303, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.3524, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 3.4954, Train Accuracy: 0.2500
Epoch [2/250], Progress: 7/19, Train Loss: 3.8623, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.9370, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.2564, Train Accuracy: 0.2500
Epoch [2/250], Progress: 10/19, Train Loss: 4.0006, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.0132, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.1362, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.9924, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 3.9973, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 3.5215, Train Accuracy: 0.2500
Epoch [2/250], Progress: 16/19, Train Loss: 3.5499, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.0627, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.0611, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.5408, Train Accuracy: 0.3333
Epoch [2/250], Train Loss: 3.5408, Train Accuracy: 0.0800, Validation Loss: 3.2826, Validation Accuracy: 0.2861

Epoch [3/250], Progress: 1/19, Train Loss: 3.8547, Train Accuracy: 0.2500
Epoch [3/250], Progress: 2/19, Train Loss: 3.4828, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 2.8998, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/19, Train Loss: 2.6909, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 2.1771, Train Accuracy: 0.2500
Epoch [3/250], Progress: 6/19, Train Loss: 3.9193, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 3.8254, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 3.2510, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 3.2658, Train Accuracy: 0.2500
Epoch [3/250], Progress: 10/19, Train Loss: 2.5550, Train Accuracy: 0.2500
Epoch [3/250], Progress: 11/19, Train Loss: 3.1999, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 2.6145, Train Accuracy: 0.2500
Epoch [3/250], Progress: 13/19, Train Loss: 3.3128, Train Accuracy: 0.2500
Epoch [3/250], Progress: 14/19, Train Loss: 3.2896, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.3853, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.0058, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 2.6895, Train Accuracy: 0.5000
Epoch [3/250], Progress: 18/19, Train Loss: 2.8483, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 3.7857, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 3.7857, Train Accuracy: 0.1333, Validation Loss: 2.6203, Validation Accuracy: 0.3039

Epoch [4/250], Progress: 1/19, Train Loss: 2.0492, Train Accuracy: 0.2500
Epoch [4/250], Progress: 2/19, Train Loss: 2.4917, Train Accuracy: 0.2500
Epoch [4/250], Progress: 3/19, Train Loss: 1.5898, Train Accuracy: 0.5000
Epoch [4/250], Progress: 4/19, Train Loss: 2.4763, Train Accuracy: 0.2500
Epoch [4/250], Progress: 5/19, Train Loss: 1.9549, Train Accuracy: 0.5000
Epoch [4/250], Progress: 6/19, Train Loss: 3.0015, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/19, Train Loss: 2.1595, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/19, Train Loss: 3.4511, Train Accuracy: 0.0000
Epoch [4/250], Progress: 9/19, Train Loss: 3.0376, Train Accuracy: 0.0000
Epoch [4/250], Progress: 10/19, Train Loss: 2.6313, Train Accuracy: 0.2500
Epoch [4/250], Progress: 11/19, Train Loss: 3.2413, Train Accuracy: 0.0000
Epoch [4/250], Progress: 12/19, Train Loss: 2.0046, Train Accuracy: 0.2500
Epoch [4/250], Progress: 13/19, Train Loss: 2.5714, Train Accuracy: 0.2500
Epoch [4/250], Progress: 14/19, Train Loss: 2.5115, Train Accuracy: 0.0000
Epoch [4/250], Progress: 15/19, Train Loss: 3.7603, Train Accuracy: 0.0000
Epoch [4/250], Progress: 16/19, Train Loss: 3.7137, Train Accuracy: 0.0000
Epoch [4/250], Progress: 17/19, Train Loss: 2.5959, Train Accuracy: 0.2500
Epoch [4/250], Progress: 18/19, Train Loss: 2.2914, Train Accuracy: 0.2500
Epoch [4/250], Progress: 19/19, Train Loss: 3.5919, Train Accuracy: 0.0000
Epoch [4/250], Train Loss: 3.5919, Train Accuracy: 0.1733, Validation Loss: 1.9948, Validation Accuracy: 0.4238

Epoch [5/250], Progress: 1/19, Train Loss: 1.5846, Train Accuracy: 0.7500
Epoch [5/250], Progress: 2/19, Train Loss: 2.2936, Train Accuracy: 0.2500
Epoch [5/250], Progress: 3/19, Train Loss: 1.9419, Train Accuracy: 0.2500
Epoch [5/250], Progress: 4/19, Train Loss: 2.3797, Train Accuracy: 0.5000
Epoch [5/250], Progress: 5/19, Train Loss: 2.7182, Train Accuracy: 0.2500
Epoch [5/250], Progress: 6/19, Train Loss: 1.7968, Train Accuracy: 0.5000
Epoch [5/250], Progress: 7/19, Train Loss: 3.0023, Train Accuracy: 0.0000
Epoch [5/250], Progress: 8/19, Train Loss: 1.2635, Train Accuracy: 0.5000
Epoch [5/250], Progress: 9/19, Train Loss: 1.9835, Train Accuracy: 0.5000
Epoch [5/250], Progress: 10/19, Train Loss: 2.7370, Train Accuracy: 0.0000
Epoch [5/250], Progress: 11/19, Train Loss: 1.7327, Train Accuracy: 0.5000
Epoch [5/250], Progress: 12/19, Train Loss: 1.7839, Train Accuracy: 0.2500
Epoch [5/250], Progress: 13/19, Train Loss: 2.7469, Train Accuracy: 0.0000
Epoch [5/250], Progress: 14/19, Train Loss: 2.2407, Train Accuracy: 0.2500
Epoch [5/250], Progress: 15/19, Train Loss: 5.5611, Train Accuracy: 0.0000
Epoch [5/250], Progress: 16/19, Train Loss: 3.9243, Train Accuracy: 0.0000
