arg:  ['/var/spool/slurm/d/job06572/slurm_script']
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/SecondWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(60)
The digit is a tensor(28)
*************** New model ***************
Details: embed_dim = 32 num_heads = 16 num_induce = 16 stack = 3 dropout = 0.05 batch_size = 4 subsample_size = 8000

Epoch [1/250], Progress: 1/19, Train Loss: 4.5576, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.3282, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.1180, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.3800, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.9040, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.4807, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.9538, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.7484, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.3457, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 4.3072, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.1347, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.2363, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.6113, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.5147, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.8635, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.5448, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.5102, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 4.8631, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.5323, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.5229, Train Accuracy: 0.0000, Validation Loss: 4.4069, Validation Accuracy: 0.0133

Epoch [2/250], Progress: 1/19, Train Loss: 4.5760, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.4298, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.5920, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.2841, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.0862, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 4.4719, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.1301, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.2660, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.5252, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.3899, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.2867, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.5867, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.5319, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.2777, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.2569, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.5870, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.7108, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.5323, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.5387, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.4242, Train Accuracy: 0.0133, Validation Loss: 4.3685, Validation Accuracy: 0.0133

Epoch [3/250], Progress: 1/19, Train Loss: 4.0106, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.0477, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/19, Train Loss: 4.3811, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.4216, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.6110, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.2998, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 4.4546, Train Accuracy: 0.0000
Epoch [3/250], Progress: 8/19, Train Loss: 4.6196, Train Accuracy: 0.0000
Epoch [3/250], Progress: 9/19, Train Loss: 4.4902, Train Accuracy: 0.0000
Epoch [3/250], Progress: 10/19, Train Loss: 4.3459, Train Accuracy: 0.0000
Epoch [3/250], Progress: 11/19, Train Loss: 4.2989, Train Accuracy: 0.0000
Epoch [3/250], Progress: 12/19, Train Loss: 4.4382, Train Accuracy: 0.0000
Epoch [3/250], Progress: 13/19, Train Loss: 4.6865, Train Accuracy: 0.0000
Epoch [3/250], Progress: 14/19, Train Loss: 4.3692, Train Accuracy: 0.0000
Epoch [3/250], Progress: 15/19, Train Loss: 4.4788, Train Accuracy: 0.0000
Epoch [3/250], Progress: 16/19, Train Loss: 4.3961, Train Accuracy: 0.0000
Epoch [3/250], Progress: 17/19, Train Loss: 4.3188, Train Accuracy: 0.0000
Epoch [3/250], Progress: 18/19, Train Loss: 4.5039, Train Accuracy: 0.0000
Epoch [3/250], Progress: 19/19, Train Loss: 4.5898, Train Accuracy: 0.0000
Epoch [3/250], Train Loss: 4.4085, Train Accuracy: 0.0133, Validation Loss: 4.3504, Validation Accuracy: 0.0133

Epoch [4/250], Progress: 1/19, Train Loss: 4.2840, Train Accuracy: 0.0000
Epoch [4/250], Progress: 2/19, Train Loss: 4.3922, Train Accuracy: 0.0000
Epoch [4/250], Progress: 3/19, Train Loss: 4.3392, Train Accuracy: 0.0000
Epoch [4/250], Progress: 4/19, Train Loss: 4.2894, Train Accuracy: 0.0000
Epoch [4/250], Progress: 5/19, Train Loss: 4.4323, Train Accuracy: 0.0000
Epoch [4/250], Progress: 6/19, Train Loss: 4.2608, Train Accuracy: 0.0000
Epoch [4/250], Progress: 7/19, Train Loss: 4.1734, Train Accuracy: 0.2500
Epoch [4/250], Progress: 8/19, Train Loss: 4.5488, Train Accuracy: 0.0000
