arg:  ['/var/spool/slurm/d/job02596/slurm_script']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(21)
The digit is a tensor(44)
*************** New model ***************

Epoch [1/250], Progress: 1/19, Train Loss: 4.5160, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.1601, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 4.3429, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 4.6342, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.3476, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 4.1497, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 4.3357, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.5323, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 4.4461, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 5.0198, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 4.4117, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 4.4153, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 4.7163, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 4.6436, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.8250, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 4.3777, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 4.4870, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.1099, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.8553, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.8553, Train Accuracy: 0.0000, Validation Loss: 4.4225, Validation Accuracy: 0.0467

Epoch [2/250], Progress: 1/19, Train Loss: 4.5090, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 4.5406, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.3565, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 4.1831, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.1552, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 4.2921, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 4.3317, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 4.4595, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 4.3424, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 4.3458, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 4.2880, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 4.7075, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 4.5603, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.6201, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.4275, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.7817, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.2869, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.3768, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.4921, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 4.4921, Train Accuracy: 0.0000, Validation Loss: 4.3684, Validation Accuracy: 0.0000

Epoch [3/250], Progress: 1/19, Train Loss: 4.1877, Train Accuracy: 0.0000
Epoch [3/250], Progress: 2/19, Train Loss: 4.4527, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 4.6572, Train Accuracy: 0.0000
Epoch [3/250], Progress: 4/19, Train Loss: 4.3500, Train Accuracy: 0.0000
Epoch [3/250], Progress: 5/19, Train Loss: 4.3932, Train Accuracy: 0.0000
Epoch [3/250], Progress: 6/19, Train Loss: 4.4844, Train Accuracy: 0.0000
